,Month,DayOfWeek,Time,SecurityDelay
2461958,5,7,12,7.0
6729433,12,3,14,6.0
6944701,12,4,20,10.0
3788094,7,6,10,104.0
1319762,3,2,7,19.0
1296269,3,7,11,4.0
2348973,4,5,6,13.0
1894525,4,7,15,4.0
611883,2,1,12,5.0
1931029,4,5,20,60.0
3680979,7,5,18,25.0
695339,2,7,18,8.0
6474240,12,5,18,16.0
4413688,8,3,9,10.0
4352644,8,6,15,17.0
5356987,9,4,19,25.0
4464218,8,1,6,25.0
3423304,6,6,10,10.0
3092286,6,1,7,20.0
4516189,8,1,19,23.0
6888431,12,6,7,8.0
4097486,7,4,7,109.0
5521092,10,1,13,32.0
6978623,12,1,11,9.0
4150567,7,3,11,16.0
2482783,5,6,10,35.0
710698,2,7,19,17.0
1347832,3,7,15,46.0
4816201,8,1,19,17.0
5427845,10,4,16,10.0
5865765,10,4,18,8.0
5910205,10,7,18,29.0
2972019,5,4,6,10.0
2515367,5,6,19,22.0
5392814,10,7,19,3.0
4038995,7,4,11,40.0
2509547,5,2,9,6.0
2428794,5,4,9,8.0
1284813,3,5,18,5.0
1762751,3,7,13,10.0
6002911,11,5,19,2.0
3007310,6,5,14,18.0
2514868,5,3,19,10.0
2420316,5,1,6,6.0
4815529,8,1,5,20.0
1006894,2,4,8,25.0
5511026,10,7,15,28.0
5512833,10,3,17,20.0
23914,1,4,13,63.0
185543,1,5,13,30.0
5695429,10,4,21,13.0
3655812,7,5,17,7.0
1327489,3,6,12,15.0
1905163,4,1,17,15.0
6528093,12,1,6,17.0
3026260,6,4,8,9.0
6873381,12,6,6,30.0
1911528,4,2,15,5.0
4881675,9,7,17,13.0
3916592,7,3,12,24.0
4342999,8,6,9,8.0
6966016,12,2,8,6.0
4518197,8,2,12,6.0
5460801,10,7,18,10.0
6025005,11,6,17,11.0
31601,1,6,12,21.0
6447072,11,7,6,8.0
3544374,6,5,17,9.0
5980494,11,6,9,28.0
302584,1,4,7,22.0
2355309,4,1,18,6.0
3124815,6,4,6,15.0
769696,2,1,6,25.0
2495532,5,7,17,10.0
5427764,10,4,9,20.0
2689616,5,5,17,1.0
3948970,7,3,17,6.0
