,Month,DayOfWeek,Time,SecurityDelay
4531021,8,6,13,11.0
3117109,6,7,19,3.0
585692,1,3,8,13.0
4881588,9,7,21,8.0
5454138,10,5,20,11.0
119868,1,3,12,7.0
5562249,10,6,10,16.0
3708385,7,5,19,24.0
547788,1,4,22,9.0
6186382,11,6,9,20.0
616972,2,3,15,15.0
1455598,3,6,9,16.0
2949300,5,6,11,147.0
6993302,12,1,6,11.0
6528152,12,1,11,27.0
643714,2,4,14,7.0
1296878,3,6,18,18.0
3688551,7,1,11,8.0
1489429,3,6,6,40.0
1234582,3,4,18,9.0
646975,2,5,6,16.0
3900186,7,3,20,15.0
6048300,11,5,14,5.0
6968967,12,7,8,8.0
619666,2,3,6,6.0
1925956,4,5,16,23.0
6052590,11,6,19,13.0
687745,2,3,9,8.0
1009351,2,2,19,39.0
3031603,6,5,19,4.0
5644953,10,4,16,13.0
6990455,12,5,14,16.0
570624,1,3,9,9.0
3554920,6,2,18,15.0
1027891,2,1,19,11.0
4007805,7,1,18,20.0
687757,2,3,6,13.0
3010259,6,6,11,8.0
6083341,11,2,13,15.0
2970045,5,7,18,11.0
3016163,6,1,13,3.0
5513111,10,3,8,33.0
624285,2,5,17,44.0
6633501,12,7,6,12.0
643543,2,4,6,9.0
3531974,6,3,20,2.0
438101,1,3,12,13.0
114249,1,2,19,60.0
1144576,2,1,19,6.0
4372229,8,3,6,27.0
3722048,7,7,12,20.0
439760,1,5,9,21.0
4050089,7,3,12,26.0
1277083,3,1,15,7.0
5956178,11,5,14,8.0
1298096,3,2,7,12.0
6633504,12,6,6,15.0
3693140,7,2,17,2.0
1892084,4,3,18,9.0
1468353,3,2,16,20.0
3003114,6,4,9,9.0
289203,1,7,18,6.0
2503295,5,1,19,3.0
1300339,3,6,17,12.0
2348421,4,7,19,2.0
546527,1,2,6,3.0
6719372,12,1,11,11.0
6714668,12,4,20,14.0
6570856,12,5,17,1.0
1448977,3,1,6,15.0
6586111,12,3,7,96.0
3577566,6,7,7,20.0
6558086,12,1,19,10.0
4343912,8,7,19,17.0
3078881,6,5,6,9.0
1446150,3,5,16,10.0
1955861,4,2,8,7.0
3557764,6,1,14,6.0
2054859,4,4,11,7.0
2966321,5,6,18,13.0
3636983,7,6,11,3.0
1903743,4,7,15,17.0
4118146,7,2,5,21.0
110981,1,5,18,54.0
2431348,5,4,11,6.0
1064427,2,5,15,9.0
3150750,6,5,7,20.0
1693847,3,7,8,15.0
3335390,6,5,21,13.0
6646122,12,2,6,9.0
5633359,10,1,8,1.0
1283836,3,7,14,8.0
6964745,12,6,7,10.0
1297666,3,2,15,11.0
6525698,12,1,10,22.0
4205511,7,7,19,10.0
1298144,3,7,17,15.0
5563858,10,5,11,3.0
3287660,6,4,17,16.0
3076293,6,4,17,3.0
400420,1,3,13,8.0
6731336,12,1,6,10.0
3571810,6,6,18,8.0
1249750,3,2,8,2.0
6126114,11,7,6,13.0
1477059,3,1,7,4.0
4118147,7,3,5,15.0
6340827,11,5,18,15.0
5325673,9,3,14,20.0
3137686,6,2,6,18.0
1258185,3,4,18,1.0
2955913,5,6,6,22.0
2604146,5,6,11,81.0
1405551,3,6,9,35.0
1836864,4,4,7,15.0
5386543,10,5,17,3.0
533316,1,7,13,35.0
1291774,3,5,14,2.0
5415177,10,7,8,27.0
4195561,7,1,19,17.0
4158751,7,7,8,9.0
1159922,2,6,6,30.0
148688,1,1,17,18.0
6525705,12,1,14,24.0
5862942,10,5,15,70.0
105928,1,2,15,8.0
6546602,12,1,11,15.0
6532537,12,3,7,6.0
1387476,3,3,6,23.0
3563472,6,6,20,27.0
4419519,8,7,16,18.0
2590124,5,4,6,22.0
4342027,8,6,12,2.0
6541050,12,6,12,5.0
1205260,3,3,20,7.0
24282,1,4,16,10.0
5912332,10,4,17,4.0
3034182,6,6,20,3.0
6615506,12,1,6,20.0
1230219,3,3,18,22.0
2923663,5,7,20,68.0
6541381,12,6,16,10.0
3899504,7,2,18,8.0
6874289,12,3,8,7.0
3320320,6,7,10,32.0
536595,1,2,21,39.0
6590986,12,3,9,27.0
653718,2,7,15,53.0
3536632,6,6,11,53.0
1800864,4,7,17,16.0
877331,2,7,23,24.0
3031352,6,5,17,11.0
6456124,11,5,6,31.0
2928402,5,4,8,13.0
6487376,12,3,14,20.0
3280758,6,6,15,21.0
3733662,7,1,18,7.0
6950587,12,6,21,15.0
3901450,7,4,20,17.0
1118206,2,5,16,2.0
259022,1,4,18,27.0
569616,1,3,15,7.0
3116341,6,6,14,16.0
1456211,3,6,23,41.0
3579660,6,6,20,4.0
6041710,11,6,15,7.0
1286963,3,7,11,14.0
650546,2,6,10,12.0
6510939,12,3,12,7.0
6823279,12,2,11,2.0
3622679,7,2,21,3.0
6715546,12,5,8,12.0
526565,1,5,11,10.0
4158641,7,7,16,17.0
6993588,12,1,14,21.0
1286153,3,6,16,6.0
297049,1,2,16,46.0
648061,2,5,20,8.0
670578,2,5,9,10.0
6526316,12,1,6,13.0
1912052,4,5,18,11.0
6858,1,6,12,10.0
2495030,5,6,17,17.0
3797448,7,6,12,18.0
4519453,8,3,15,5.0
567023,1,3,12,3.0
6731095,12,1,13,3.0
1331139,3,5,7,3.0
2928425,5,4,13,8.0
6511367,12,3,8,6.0
3545682,6,7,15,22.0
3515901,6,4,18,4.0
6759930,12,6,8,4.0
3016159,6,1,6,22.0
4375284,8,7,17,30.0
3052051,6,4,17,3.0
206455,1,4,11,23.0
6849545,12,1,11,2.0
6531751,12,2,20,13.0
4526205,8,2,9,37.0
977876,2,5,14,7.0
3118061,6,7,15,13.0
2678923,5,2,6,8.0
2974161,5,6,18,9.0
4150038,7,2,20,15.0
3295504,6,7,13,16.0
2065344,4,5,19,9.0
2319788,4,4,20,8.0
3064929,6,1,9,3.0
3937605,7,7,12,15.0
403988,1,4,6,8.0
2822620,5,2,6,13.0
302559,1,4,7,15.0
491760,1,3,11,4.0
2056643,4,5,8,16.0
1155493,2,2,19,10.0
2921942,5,3,19,17.0
1456142,3,6,6,10.0
3123521,6,1,17,6.0
1758094,3,5,12,27.0
745502,2,3,15,102.0
436413,1,6,6,17.0
3559641,6,6,17,6.0
3037530,6,7,16,5.0
215456,1,3,19,22.0
1230668,3,3,8,34.0
6964264,12,6,9,19.0
1828143,4,1,13,6.0
1400560,3,6,10,26.0
2688711,5,5,20,13.0
5146635,9,7,17,3.0
1218010,3,7,7,18.0
4844389,9,2,12,1.0
585007,1,4,17,16.0
4815512,8,4,7,9.0
271197,1,6,14,42.0
1224299,3,1,11,14.0
4232842,8,6,17,4.0
2451275,5,3,17,16.0
2932357,5,6,20,61.0
5646575,10,5,17,30.0
700632,2,5,9,16.0
671956,2,5,7,11.0
1884620,4,2,18,5.0
3728898,7,6,16,13.0
3136830,6,1,15,35.0
6431347,11,1,19,3.0
300181,1,3,14,35.0
4966973,9,5,9,117.0
6525659,12,1,15,20.0
5093244,9,4,15,15.0
5646585,10,5,17,46.0
3648547,7,3,8,54.0
785622,2,4,16,16.0
1299746,3,6,21,9.0
1360072,3,7,10,21.0
5358750,9,4,18,27.0
4279043,8,6,18,9.0
1244942,3,1,15,3.0
624337,2,5,19,5.0
1217203,3,6,10,4.0
6029853,11,7,10,8.0
742538,2,5,13,22.0
2927129,5,1,10,20.0
3635068,7,6,19,11.0
2351912,4,1,20,25.0
1216900,3,6,12,3.0
5462201,10,1,9,8.0
126528,1,3,12,5.0
1280975,3,5,15,8.0
48928,1,5,15,9.0
581,1,4,10,10.0
3016186,6,1,10,15.0
25586,1,4,18,4.0
2677360,5,1,12,18.0
2086484,4,3,16,10.0
1913979,4,1,14,9.0
2972075,5,4,18,16.0
3008188,6,5,21,4.0
5516861,10,2,12,23.0
1891569,4,4,17,1.0
5211781,9,1,7,17.0
79660,1,7,19,2.0
1230498,3,3,8,13.0
6400259,11,6,13,78.0
1766261,3,4,16,33.0
1351246,3,2,7,18.0
6501359,12,7,16,15.0
6715762,12,5,6,3.0
6522598,12,7,12,35.0
1742403,3,5,17,6.0
4205454,7,3,19,15.0
1293935,3,6,19,19.0
3621927,7,2,18,1.0
2351503,4,5,18,16.0
3941506,7,1,10,14.0
10738,1,7,14,12.0
272223,1,7,18,7.0
6816645,12,3,12,2.0
1245218,3,1,16,17.0
273355,1,1,19,5.0
301534,1,3,9,4.0
3886572,7,6,19,110.0
1769232,3,6,15,17.0
1144550,2,6,19,10.0
5491436,10,4,13,27.0
3704005,7,7,15,11.0
6563648,12,1,14,10.0
6519507,12,5,7,19.0
4869320,9,3,17,2.0
4339097,8,6,10,16.0
2442376,5,1,10,42.0
6884984,12,2,6,6.0
1794333,4,5,20,10.0
6627186,12,4,6,17.0
2452702,5,4,16,3.0
3756232,7,5,14,27.0
1306866,3,6,17,62.0
2815619,5,6,12,83.0
541561,1,7,12,12.0
1836852,4,4,7,20.0
1216166,3,6,8,4.0
582114,1,3,19,18.0
5146530,9,7,21,3.0
3940329,7,2,18,5.0
6200253,11,7,20,1.0
1594223,3,6,13,9.0
1821289,4,6,17,2.0
1445771,3,5,14,3.0
1867191,4,6,6,21.0
1455750,3,6,20,51.0
6971844,12,3,14,40.0
3897606,7,1,18,18.0
2689632,5,5,14,29.0
4160824,7,5,19,23.0
4271508,8,4,21,3.0
3106026,6,6,21,17.0
5321395,9,6,13,31.0
5490200,10,5,17,6.0
6986421,12,4,16,17.0
1825936,4,7,11,7.0
4567912,8,3,13,21.0
1755188,3,7,17,14.0
550283,1,1,4,8.0
298458,1,3,6,8.0
4046195,7,4,15,60.0
848842,2,5,17,12.0
1386805,3,2,15,126.0
3279926,6,5,9,4.0
5415168,10,7,8,45.0
6328000,11,6,14,15.0
6579956,12,1,21,3.0
3187078,6,6,6,24.0
4909609,9,1,10,56.0
258906,1,4,6,10.0
6646222,12,6,6,23.0
1917204,4,7,19,13.0
875363,2,5,13,16.0
2346439,4,6,18,8.0
3622280,7,2,11,17.0
22936,1,4,20,13.0
1018871,2,6,14,5.0
1441334,3,2,13,2.0
6565984,12,5,6,6.0
4133039,7,4,8,186.0
6427825,11,6,19,18.0
2963802,5,1,21,20.0
1931005,4,5,18,44.0
6557727,12,1,20,14.0
3554921,6,6,15,21.0
2515726,5,3,20,8.0
747895,2,2,19,13.0
1622513,3,6,8,8.0
1303703,3,6,19,35.0
1204700,3,2,14,1.0
2508412,5,5,13,4.0
5497030,10,4,14,7.0
6711553,12,2,17,12.0
1188682,3,5,7,36.0
6427346,11,7,21,13.0
6883718,12,6,7,21.0
4772593,8,5,18,141.0
3796303,7,5,7,27.0
703605,2,7,16,2.0
3040544,6,1,18,25.0
6645690,12,7,6,47.0
2926582,5,7,18,2.0
2646356,5,4,11,9.0
861647,2,2,19,43.0
5499482,10,1,7,15.0
5495274,10,6,18,18.0
1198147,3,1,6,17.0
1291351,3,4,20,16.0
3561541,6,2,6,16.0
1901466,4,3,17,7.0
4498259,8,1,22,19.0
6438179,11,5,9,12.0
6434361,11,4,6,12.0
299955,1,3,8,23.0
4062396,7,3,19,58.0
1216076,3,6,9,15.0
1256757,3,4,13,6.0
4857406,9,6,13,1.0
185656,1,5,16,36.0
540315,1,4,20,7.0
6519394,12,5,20,10.0
1767604,3,5,19,15.0
5461409,10,7,13,4.0
437192,1,5,19,16.0
4514362,8,6,20,7.0
671018,2,5,6,9.0
298706,1,3,9,8.0
6177895,11,6,6,4.0
4199226,7,3,16,7.0
3577334,6,2,14,4.0
1317830,3,6,8,62.0
3052225,6,4,14,1.0
1290791,3,1,14,1.0
4813618,8,3,12,2.0
2085991,4,3,16,5.0
1728223,3,5,12,4.0
4124486,7,3,12,20.0
611847,2,1,11,6.0
1239157,3,6,16,9.0
6983369,12,1,8,14.0
1206308,3,3,11,2.0
2683870,5,6,11,141.0
2367751,4,5,7,11.0
478132,1,7,17,12.0
6141506,11,6,6,16.0
6031592,11,6,6,26.0
2314272,4,5,20,3.0
1765181,3,4,6,20.0
886155,2,5,17,4.0
705379,2,7,20,3.0
3402289,6,4,6,8.0
6071334,11,6,19,41.0
6575811,12,6,8,254.0
6949993,12,5,10,8.0
9469,1,7,6,6.0
6964307,12,6,8,39.0
24009,1,4,13,17.0
2560680,5,6,11,3.0
107299,1,3,20,11.0
2506035,5,6,19,14.0
4308757,8,1,6,7.0
1389515,3,4,19,32.0
3079976,6,5,13,1.0
3474042,6,6,12,12.0
5464568,10,1,9,15.0
1273632,3,4,17,10.0
4772502,8,5,16,25.0
2962291,5,4,17,4.0
5104712,9,7,18,20.0
3757316,7,7,11,24.0
426605,1,2,14,15.0
3092353,6,4,7,9.0
4410526,8,1,6,36.0
3100590,6,1,9,4.0
1038450,2,5,6,13.0
579611,1,3,7,6.0
1304898,3,2,16,4.0
863665,2,3,20,29.0
11033,1,7,18,10.0
6990305,12,5,18,10.0
3115981,6,7,15,7.0
1991092,4,4,6,3.0
1660810,3,5,18,7.0
3014878,6,7,10,7.0
24040,1,4,12,19.0
6716301,12,5,13,7.0
2430346,5,4,17,6.0
6718432,12,7,11,1.0
4095037,7,4,13,16.0
2957822,5,5,11,27.0
1242108,3,7,12,15.0
3108824,6,6,18,25.0
1800898,4,7,18,10.0
302534,1,4,6,6.0
3183476,6,4,11,62.0
1604603,3,2,13,4.0
2548301,5,5,14,21.0
2659597,5,1,7,28.0
4319213,8,4,12,8.0
1621297,3,6,21,6.0
2689566,5,5,17,2.0
2315510,4,1,21,65.0
6057222,11,5,16,27.0
5515769,10,7,6,21.0
3531802,6,2,19,18.0
4135688,7,2,16,12.0
2912039,5,7,8,22.0
1269121,3,1,11,14.0
6974829,12,6,19,32.0
1219195,3,7,10,1.0
11600,1,7,12,12.0
3069725,6,2,7,8.0
439534,1,3,9,9.0
707134,2,5,15,3.0
438752,1,3,11,17.0
1143376,2,4,16,9.0
629832,2,7,13,6.0
330204,1,3,11,7.0
2432682,5,5,11,4.0
6556633,12,2,6,17.0
1696836,3,5,18,7.0
1760425,3,5,19,19.0
3185554,6,5,6,7.0
2540433,5,6,9,24.0
298673,1,3,13,14.0
176224,1,6,19,38.0
534699,1,4,9,7.0
3084111,6,7,7,23.0
1239143,3,6,17,23.0
5838215,10,5,13,9.0
6525620,12,1,7,40.0
4191259,7,4,18,15.0
1008135,2,2,19,10.0
3626384,7,3,17,6.0
1448662,3,7,17,2.0
3891949,7,3,16,16.0
1350111,3,1,10,24.0
1190244,3,5,11,8.0
1793798,4,5,7,10.0
2968488,5,5,6,21.0
1481786,3,7,19,3.0
6539142,12,5,11,11.0
6526556,12,1,9,2.0
3716621,7,1,12,22.0
2415433,5,7,20,55.0
5451569,10,4,10,20.0
1914159,4,3,14,4.0
6618711,12,1,7,7.0
4040363,7,4,17,2.0
6858093,12,5,19,3.0
659737,2,2,10,9.0
1503450,3,1,7,10.0
4721413,8,5,16,8.0
6532498,12,3,16,15.0
1196205,3,7,10,14.0
3498236,6,6,6,20.0
6539987,12,5,11,4.0
1213706,3,5,8,35.0
202988,1,2,14,68.0
5453736,10,5,10,24.0
4390042,8,3,19,18.0
296363,1,2,17,16.0
3667528,7,1,19,2.0
1215945,3,6,8,14.0
4963858,9,7,18,15.0
1903778,4,6,18,19.0
3710175,7,7,17,21.0
116747,1,3,6,20.0
2596140,5,1,11,33.0
1301239,3,3,6,6.0
4270705,8,4,20,4.0
6765409,12,3,12,5.0
1153656,2,7,18,19.0
3577739,6,7,18,26.0
1883828,4,1,7,9.0
5342729,9,4,16,6.0
5392060,10,7,19,4.0
3294312,6,7,8,2.0
611455,2,1,15,9.0
1243,1,4,14,12.0
3901435,7,4,20,14.0
6574623,12,1,18,3.0
654548,2,7,15,109.0
697137,2,1,13,8.0
6870564,12,3,18,6.0
6721309,12,3,18,31.0
678453,2,1,12,6.0
6890848,12,1,19,31.0
2867126,5,5,8,38.0
6519512,12,5,12,13.0
4099606,7,3,15,18.0
1186797,3,4,12,2.0
3549931,6,1,7,7.0
6400274,11,6,13,8.0
4816586,8,3,16,23.0
6981111,12,4,9,21.0
5454969,10,5,12,16.0
2689599,5,5,14,12.0
5905298,10,7,14,14.0
2784488,5,7,5,12.0
2452684,5,4,12,6.0
1747190,3,4,14,31.0
791712,2,1,14,28.0
1239927,3,6,8,18.0
3564633,6,2,5,8.0
1963638,4,5,20,3.0
1302182,3,3,9,10.0
2506755,5,1,15,13.0
3028295,6,4,18,13.0
5646531,10,5,18,31.0
4872249,9,4,21,7.0
1447358,3,6,17,11.0
5908199,10,3,9,7.0
4338397,8,6,19,3.0
611803,2,1,11,29.0
1203829,3,2,11,7.0
6974106,12,7,6,17.0
2504177,5,7,18,7.0
6483145,12,1,11,15.0
2968056,5,6,19,7.0
4804986,8,1,6,19.0
6701049,12,7,20,13.0
4870146,9,3,13,3.0
4800458,8,7,20,15.0
6951674,12,2,22,45.0
886078,2,5,13,8.0
6977170,12,2,13,16.0
1295662,3,6,19,19.0
4191403,7,2,20,13.0
4206980,7,2,17,18.0
375217,1,7,8,14.0
201217,1,1,6,46.0
4351939,8,1,18,9.0
5661910,10,4,19,1.0
708819,2,6,17,37.0
3640201,7,7,15,11.0
4040483,7,4,8,39.0
6992527,12,2,17,29.0
2457114,5,5,21,13.0
3128551,6,4,7,17.0
1913223,4,1,17,4.0
6059,1,6,8,22.0
1239948,3,6,12,9.0
2083000,4,2,13,85.0
6528364,12,1,10,6.0
4848,1,5,10,8.0
6988944,12,7,13,6.0
5980521,11,6,8,26.0
653724,2,7,16,36.0
106451,1,5,19,12.0
3118912,6,6,20,5.0
1903172,4,3,18,2.0
340294,1,7,20,32.0
1848274,4,7,18,1.0
6732376,12,1,18,4.0
3579235,6,3,6,10.0
195024,1,4,13,37.0
5903034,10,3,20,9.0
1886773,4,1,9,7.0
667,1,4,20,6.0
5977393,11,5,13,3.0
3748873,7,2,10,27.0
6562749,12,2,13,8.0
2505062,5,7,18,34.0
2358058,4,3,6,10.0
3789119,7,7,11,29.0
4406927,8,6,6,6.0
1917167,4,3,19,8.0
3713141,7,5,15,1.0
1269195,3,1,15,15.0
6433016,11,5,6,6.0
5506100,10,7,19,42.0
6528139,12,1,14,14.0
3052711,6,4,21,3.0
3506755,6,2,18,86.0
542648,1,3,20,10.0
4098438,7,2,14,114.0
4305995,8,7,10,13.0
3561930,6,4,16,12.0
1007311,2,1,8,16.0
6029815,11,7,13,5.0
6111310,11,5,13,19.0
3030072,6,5,13,7.0
426599,1,3,15,14.0
2428811,5,4,10,6.0
3567984,6,1,20,6.0
3052751,6,4,17,9.0
3114579,6,6,14,4.0
2826679,5,1,17,8.0
3177603,6,7,15,89.0
4999975,9,4,10,26.0
4128464,7,2,13,19.0
694460,2,5,11,11.0
63573,1,2,14,2.0
1769335,3,4,19,17.0
4805937,8,3,13,25.0
668274,2,4,18,4.0
3734475,7,3,13,7.0
3212679,6,1,16,32.0
1744096,3,3,18,14.0
3116912,6,1,14,4.0
1282712,3,2,15,6.0
4917574,9,4,19,8.0
2443683,5,1,20,6.0
3110304,6,4,9,23.0
2486670,5,7,15,10.0
4351298,8,7,18,12.0
4389934,8,3,7,5.0
1259726,3,5,8,6.0
292946,1,3,14,18.0
6555838,12,3,6,12.0
6892248,12,1,19,50.0
6713472,12,3,8,4.0
3062141,6,7,20,6.0
6570598,12,6,6,20.0
578279,1,3,19,8.0
6943293,12,1,15,8.0
1290651,3,4,11,3.0
1744807,3,5,13,2.0
3678452,7,5,9,16.0
445066,1,2,15,13.0
3175464,6,6,10,6.0
2966026,5,4,8,17.0
2763858,5,5,9,4.0
58811,1,1,18,3.0
2763509,5,4,8,1.0
3679151,7,5,7,211.0
584520,1,5,17,13.0
300403,1,3,14,16.0
1435271,3,6,8,43.0
726905,2,4,15,13.0
2467983,5,2,20,18.0
1365,1,4,14,5.0
611981,2,1,9,6.0
1256138,3,4,16,3.0
78764,1,7,12,13.0
1237164,3,5,18,6.0
4158149,7,6,11,4.0
1758179,3,5,17,7.0
91860,1,4,13,4.0
6945423,12,6,11,16.0
709156,2,7,12,6.0
91841,1,4,12,17.0
120967,1,4,6,6.0
6528275,12,1,20,7.0
4160882,7,5,18,57.0
3474315,6,2,19,44.0
5013032,9,6,10,61.0
4498155,8,1,22,15.0
4459641,8,2,6,13.0
1368877,3,5,18,25.0
1281576,3,3,19,12.0
3502964,6,1,13,12.0
6823268,12,5,11,12.0
62657,1,2,13,9.0
1381287,3,6,9,34.0
1693805,3,5,6,14.0
602,1,4,8,9.0
578182,1,3,17,3.0
6943558,12,1,21,16.0
3013727,6,7,18,5.0
464919,1,3,7,18.0
2950591,5,3,17,1.0
6433157,11,5,12,10.0
1110669,2,2,13,2.0
3189863,6,1,7,18.0
4175558,7,1,17,3.0
3013270,6,7,13,11.0
1265811,3,7,10,9.0
6083390,11,2,13,15.0
1259662,3,5,21,9.0
1237135,3,5,10,5.0
2366039,4,4,11,10.0
2487894,5,1,7,18.0
3060851,6,7,17,2.0
691843,2,5,20,6.0
879740,2,2,21,17.0
6656399,12,5,14,9.0
867828,2,6,15,6.0
3060192,6,7,9,11.0
1917065,4,3,15,2.0
3728361,7,5,11,3.0
1904245,4,3,19,10.0
3026237,6,4,7,17.0
2568336,5,4,11,48.0
6714853,12,4,10,35.0
5868738,10,5,21,5.0
172151,1,3,6,17.0
2352904,4,1,19,11.0
2964712,5,6,7,13.0
3101891,6,2,11,6.0
1252890,3,3,8,16.0
3028664,6,4,14,4.0
3282598,6,7,16,4.0
6950517,12,6,20,4.0
682244,2,2,19,5.0
937219,2,7,14,135.0
3448608,6,3,8,6.0
6983059,12,2,13,33.0
1145114,2,7,12,19.0
3535125,6,3,20,18.0
1451288,3,2,13,12.0
1902034,4,3,19,3.0
3739569,7,3,6,22.0
441993,1,6,17,12.0
6652075,12,6,8,7.0
7269,1,6,19,5.0
4576903,8,3,21,42.0
213799,1,2,16,41.0
1220535,3,7,16,1.0
4807133,8,3,16,22.0
1823923,4,7,8,25.0
106604,1,7,18,12.0
3077375,6,5,14,3.0
298718,1,3,7,16.0
3092350,6,1,7,30.0
4383859,8,5,15,22.0
3715922,7,2,20,2.0
4814482,8,1,15,13.0
1718348,3,1,21,13.0
6981502,12,4,19,9.0
868443,2,7,16,47.0
698327,2,4,6,8.0
437468,1,3,7,11.0
1346376,3,6,19,33.0
4966525,9,4,15,42.0
299347,1,3,7,17.0
6194912,11,7,18,32.0
2813350,5,6,14,15.0
6328713,11,3,18,7.0
5559191,10,2,15,4.0
1410,1,4,10,5.0
4038809,7,4,8,38.0
6976555,12,3,0,15.0
1242089,3,7,13,7.0
6615586,12,1,6,10.0
570574,1,7,17,11.0
3048238,6,3,9,16.0
1136768,2,6,18,22.0
546522,1,2,8,13.0
3573093,6,7,15,15.0
33049,1,7,15,14.0
5649345,10,1,18,5.0
6597379,12,5,12,21.0
888958,2,6,15,3.0
1230595,3,3,8,5.0
742255,2,5,19,15.0
5101293,9,4,11,9.0
2441515,5,1,8,9.0
5850443,10,5,17,16.0
300570,1,3,15,20.0
1891931,4,6,16,6.0
3699913,7,4,11,22.0
5626232,10,2,9,15.0
4379611,8,6,7,18.0
2487575,5,7,18,18.0
3432689,6,7,19,9.0
5655013,10,5,8,7.0
1245960,3,1,6,21.0
6970743,12,3,8,13.0
4912060,9,2,11,2.0
4767234,8,7,7,8.0
6981481,12,4,15,17.0
928870,2,3,13,115.0
2887812,5,2,12,4.0
2395288,5,1,18,7.0
720410,2,1,19,5.0
694888,2,7,19,6.0
1148057,2,5,18,11.0
1661028,3,6,8,25.0
4360468,8,1,16,6.0
3114684,6,6,14,284.0
6733531,12,1,6,16.0
5905941,10,6,8,11.0
2501459,5,1,16,3.0
541838,1,1,15,15.0
4205335,7,6,12,5.0
299158,1,3,7,32.0
3050035,6,4,17,4.0
6548889,12,1,7,19.0
3022950,6,3,9,18.0
2316320,4,3,20,56.0
2314907,4,6,13,11.0
5627735,10,3,14,4.0
886030,2,5,15,2.0
6433199,11,5,18,8.0
1580799,3,2,17,14.0
4159814,7,3,11,32.0
1233650,3,4,20,14.0
1021354,2,5,7,33.0
127428,1,3,19,3.0
1628763,3,6,8,8.0
5254203,9,1,13,28.0
2960313,5,5,18,12.0
4513289,8,5,20,17.0
641670,2,3,6,13.0
1892615,4,3,18,41.0
4092938,7,7,8,14.0
2560413,5,6,11,139.0
1314146,3,7,10,16.0
2229419,4,4,14,10.0
536317,1,1,19,33.0
4159581,7,2,11,18.0
4751734,8,2,6,16.0
3747223,7,7,8,42.0
3776029,7,1,14,33.0
3011608,6,6,17,5.0
1622021,3,6,9,43.0
4795054,8,4,20,22.0
2406935,5,4,14,12.0
1023850,2,2,19,10.0
1028476,2,5,8,35.0
402655,1,3,17,1.0
4773024,8,6,11,21.0
1474228,3,6,11,14.0
300561,1,3,13,22.0
2500599,5,2,19,11.0
3041437,6,1,8,5.0
4272734,8,4,14,10.0
3738110,7,2,12,8.0
2277945,4,1,16,29.0
577894,1,2,15,6.0
125275,1,3,17,1.0
1265871,3,7,15,9.0
1437661,3,6,8,51.0
624097,2,5,17,7.0
1760409,3,3,19,16.0
1793695,4,5,19,4.0
4382209,8,3,17,27.0
6965435,12,1,6,15.0
572206,1,1,13,26.0
1509044,3,1,21,22.0
6759871,12,2,11,2.0
872804,2,3,13,18.0
5946147,11,2,12,4.0
2959904,5,6,18,15.0
6730338,12,1,11,8.0
4264199,8,2,15,22.0
2391628,5,7,11,24.0
4536685,8,6,14,4.0
6551498,12,2,7,11.0
2925910,5,5,20,25.0
887525,2,5,19,3.0
3728273,7,6,12,39.0
3142142,6,1,10,17.0
6055184,11,2,17,44.0
2419894,5,1,8,2.0
3705460,7,3,8,14.0
82466,1,1,7,9.0
51309,1,5,18,5.0
3051986,6,4,12,5.0
1280961,3,7,19,6.0
5506104,10,7,17,25.0
3622216,7,2,11,2.0
2952406,5,6,12,16.0
1283145,3,6,13,22.0
4241072,8,2,11,4.0
1221884,3,1,6,16.0
4127749,7,3,15,15.0
1249706,3,2,7,15.0
2484630,5,5,9,13.0
4974830,9,3,12,23.0
874981,2,5,23,120.0
4034111,7,4,13,10.0
5505007,10,5,8,18.0
4154592,7,5,11,20.0
1765717,3,1,20,22.0
1913607,4,1,11,4.0
2967063,5,7,7,13.0
6554668,12,3,11,9.0
5507076,10,1,15,36.0
2962507,5,4,19,10.0
3105630,6,4,18,7.0
2048789,4,6,19,9.0
5911536,10,5,17,3.0
5921830,10,5,16,9.0
2960981,5,1,18,24.0
3032775,6,5,18,6.0
1836773,4,4,6,23.0
6110029,11,7,20,4.0
4292574,8,3,19,8.0
6623340,12,4,6,11.0
1423444,3,6,8,37.0
671242,2,5,15,12.0
1188688,3,5,8,55.0
6764862,12,7,21,11.0
1223075,3,1,20,17.0
3255490,6,7,15,28.0
1281492,3,6,19,17.0
4884222,9,1,9,8.0
6549565,12,1,6,28.0
6611908,12,7,7,15.0
296441,1,2,21,14.0
1900773,4,1,12,6.0
6950110,12,5,20,25.0
579959,1,2,5,14.0
4097188,7,4,11,66.0
6319013,11,5,9,6.0
4156956,7,3,19,51.0
5646515,10,5,15,9.0
3562530,6,7,17,10.0
639332,2,3,6,27.0
1474655,3,7,19,9.0
4140890,7,3,6,15.0
128500,1,7,18,8.0
671654,2,5,20,6.0
1152583,2,5,15,18.0
3113210,6,6,14,18.0
6982546,12,2,19,27.0
2475429,5,4,21,5.0
611958,2,1,13,9.0
611903,2,1,11,8.0
4375478,8,7,11,24.0
3575802,6,1,20,13.0
6888782,12,1,19,115.0
5980542,11,6,9,14.0
258373,1,3,15,30.0
5893061,10,2,14,17.0
4148698,7,3,12,61.0
1275188,3,3,8,17.0
6295096,11,4,10,87.0
1792333,4,4,14,11.0
5475663,10,4,11,7.0
4200555,7,6,15,17.0
4282914,8,7,6,39.0
2339583,4,5,21,6.0
6525572,12,1,11,29.0
