,Month,DayOfWeek,Time,WeatherDelay
3788,1,5,18,11.0
6843535,12,3,16,5.0
867582,2,6,8,34.0
863182,2,3,9,86.0
3555619,6,1,8,41.0
3779685,7,7,12,155.0
6565247,12,5,6,14.0
1709448,3,5,19,22.0
6615250,12,7,16,185.0
3444707,6,2,17,219.0
6555907,12,3,14,74.0
4812300,8,6,18,12.0
1293708,3,6,9,46.0
1295829,3,1,15,330.0
2120438,4,2,6,37.0
3106690,6,7,15,66.0
6518207,12,5,16,3.0
478025,1,3,17,20.0
243026,1,5,14,112.0
992754,2,7,9,55.0
6836833,12,2,8,36.0
6616174,12,2,10,20.0
2965877,5,5,17,6.0
5818198,10,2,14,12.0
1154171,2,2,13,13.0
298828,1,3,9,10.0
1408085,3,6,9,12.0
3364131,6,7,15,37.0
5107345,9,2,21,5.0
494917,1,2,12,22.0
2548067,5,5,14,20.0
3946140,7,4,14,8.0
2238449,4,3,18,27.0
993400,2,5,17,11.0
2543865,5,4,11,5.0
1333182,3,2,12,14.0
5194528,9,3,16,28.0
6937795,12,3,6,12.0
6087914,11,6,14,72.0
1204773,3,3,6,30.0
6740400,12,2,9,13.0
750730,2,3,14,90.0
2496248,5,1,7,57.0
2772679,5,3,14,22.0
422577,1,2,13,4.0
1028035,2,2,18,4.0
347085,1,5,11,17.0
4188248,7,3,7,15.0
5528389,10,4,11,15.0
6893790,12,3,7,240.0
6088132,11,7,16,150.0
6714992,12,4,8,28.0
1911131,4,5,15,18.0
6140658,11,4,18,21.0
3429619,6,7,22,181.0
3519995,6,2,18,8.0
3189352,6,1,8,53.0
1432451,3,1,11,6.0
6697254,12,3,9,58.0
2786656,5,2,18,1.0
6649864,12,2,6,51.0
1950067,4,1,16,44.0
6521307,12,6,7,32.0
244523,1,6,16,53.0
986376,2,1,11,24.0
6780666,12,5,13,2.0
758884,2,3,10,44.0
3107777,6,1,6,11.0
6516691,12,5,11,22.0
6924237,12,2,19,23.0
6964472,12,6,18,17.0
3474481,6,2,18,2.0
5157171,9,3,15,4.0
6221174,11,6,20,28.0
1569725,3,3,12,3.0
1085231,2,4,18,5.0
3432892,6,2,13,20.0
509193,1,4,7,28.0
3412275,6,3,15,44.0
6986796,12,3,18,6.0
1136840,2,2,22,29.0
4220808,7,4,13,49.0
916364,2,5,18,65.0
4563213,8,7,8,122.0
2830395,5,5,14,49.0
3678794,7,5,20,9.0
2467490,5,2,20,7.0
6786200,12,5,15,2.0
277212,1,4,14,5.0
6567702,12,3,20,6.0
1106178,2,5,6,15.0
1764128,3,1,12,12.0
222143,1,4,18,13.0
3494648,6,2,19,5.0
3162388,6,4,12,25.0
762563,2,2,13,20.0
1641819,3,4,21,129.0
899524,2,5,6,86.0
5208123,9,6,7,39.0
1696152,3,2,9,10.0
1040997,2,5,7,51.0
6845337,12,6,7,23.0
2953871,5,1,7,12.0
4011550,7,2,21,1.0
344015,1,6,14,100.0
3936674,7,6,17,118.0
6836279,12,5,18,95.0
6981399,12,4,6,21.0
4800380,8,5,20,58.0
227052,1,3,19,15.0
3852531,7,4,20,12.0
1299267,3,7,20,30.0
4389373,8,2,13,89.0
1507311,3,3,16,69.0
6863187,12,1,13,6.0
776011,2,5,8,69.0
2453183,5,4,16,42.0
6388651,11,7,20,8.0
2555550,5,5,11,38.0
6891409,12,6,14,35.0
3939182,7,1,10,165.0
1096457,2,5,19,123.0
1079414,2,6,20,60.0
3493642,6,4,8,96.0
4832849,8,4,16,2.0
2877690,5,3,10,8.0
4477843,8,3,19,35.0
6611566,12,6,21,185.0
4991255,9,4,17,150.0
2543698,5,4,21,29.0
1722249,3,3,20,4.0
6565982,12,5,17,74.0
988973,2,5,7,14.0
3084701,6,7,18,63.0
3565628,6,6,18,118.0
6512139,12,3,15,2.0
1604532,3,1,17,19.0
4991395,9,4,11,38.0
5249462,9,1,14,16.0
489905,1,5,15,4.0
6310931,11,7,18,2.0
1341621,3,1,12,27.0
6981405,12,4,8,19.0
3163665,6,7,19,30.0
4991419,9,4,19,59.0
2381996,4,5,21,52.0
3272114,6,6,20,45.0
4703650,8,4,13,35.0
1786977,3,5,20,10.0
582534,1,4,18,7.0
6571742,12,4,10,20.0
3455661,6,2,21,31.0
5142600,9,1,14,16.0
6838109,12,3,19,31.0
6498281,12,6,15,7.0
484595,1,6,12,52.0
886986,2,5,7,80.0
1515061,3,6,14,10.0
6508062,12,2,21,230.0
3942580,7,2,21,138.0
6986273,12,4,10,65.0
2555344,5,4,21,28.0
6949664,12,4,12,27.0
4818106,8,5,17,28.0
1943714,4,4,10,49.0
6653975,12,5,8,12.0
3768239,7,7,20,62.0
791810,2,1,21,62.0
3615350,7,7,16,153.0
4560199,8,7,20,28.0
3423050,6,2,11,36.0
2440075,5,7,17,44.0
3319969,6,6,16,71.0
3324377,6,7,20,149.0
4688721,8,4,19,27.0
1504912,3,6,16,8.0
2482371,5,6,10,30.0
5012947,9,6,11,13.0
6903763,12,2,15,10.0
4063514,7,7,21,53.0
1102463,2,6,7,64.0
1284393,3,3,18,6.0
5292033,9,5,10,7.0
6385020,11,1,18,3.0
166805,1,1,16,40.0
3448028,6,5,8,22.0
3769888,7,4,18,80.0
2022194,4,5,14,7.0
4109563,7,3,10,25.0
6832455,12,5,9,38.0
4832293,8,4,22,3.0
2719184,5,7,6,17.0
2074668,4,5,16,14.0
4981294,9,6,21,65.0
3149036,6,2,18,24.0
5323333,9,4,18,19.0
1575287,3,1,11,24.0
6679136,12,7,20,61.0
990090,2,5,8,6.0
1062811,2,6,12,60.0
4803477,8,4,19,10.0
2125813,4,1,9,13.0
4541765,8,2,8,15.0
6504083,12,1,16,10.0
4394194,8,4,13,10.0
2503383,5,1,10,2.0
6909559,12,7,14,9.0
3160425,6,1,12,35.0
3380089,6,1,15,169.0
4798115,8,4,20,4.0
3164083,6,7,19,135.0
3109304,6,7,19,6.0
6148300,11,7,10,75.0
1093257,2,5,9,13.0
6004742,11,6,8,246.0
2540552,5,5,14,15.0
2032558,4,6,17,15.0
6786696,12,7,15,32.0
1055333,2,2,20,12.0
4388041,8,7,16,25.0
1773238,3,2,19,14.0
992042,2,7,9,18.0
152041,1,4,11,33.0
6506727,12,2,14,12.0
6824557,12,2,17,21.0
4398265,8,4,17,11.0
3496342,6,6,11,58.0
4082481,7,6,11,24.0
2328370,4,7,17,64.0
3485947,6,4,14,79.0
175901,1,6,8,85.0
6747604,12,1,13,2.0
6905994,12,7,8,10.0
6067257,11,7,10,58.0
3162982,6,5,22,80.0
539739,1,2,18,17.0
6607230,12,3,18,120.0
453890,1,2,17,17.0
5768117,10,4,20,7.0
2304912,4,7,21,51.0
2364420,4,5,21,5.0
295671,1,2,18,14.0
1700901,3,4,12,15.0
3152754,6,2,20,55.0
989010,2,2,19,60.0
1171930,2,2,21,9.0
6933022,12,3,19,11.0
521697,1,5,16,95.0
2694366,5,2,19,69.0
3434433,6,5,13,29.0
4568634,8,5,20,25.0
3224280,6,6,10,18.0
4074197,7,3,18,230.0
525624,1,6,11,9.0
6530180,12,2,15,132.0
2907831,5,2,15,20.0
6844737,12,5,12,12.0
5613945,10,4,18,66.0
3607808,7,4,10,19.0
3634877,7,6,13,16.0
2959846,5,5,13,33.0
3080591,6,6,21,2.0
6852035,12,6,15,11.0
6744392,12,5,14,4.0
4576498,8,5,15,20.0
3160283,6,1,17,41.0
6883302,12,6,19,31.0
3869759,7,5,18,12.0
5009786,9,4,8,159.0
6732009,12,1,8,58.0
453662,1,2,19,35.0
6923791,12,4,13,10.0
3985210,7,1,6,168.0
993360,2,2,6,30.0
538975,1,1,16,21.0
1329999,3,3,13,87.0
798727,2,5,9,37.0
1906183,4,5,18,12.0
6868798,12,1,17,112.0
6518197,12,5,14,15.0
4649790,8,5,8,12.0
3935056,7,2,20,92.0
3577850,6,4,16,8.0
22411,1,4,14,67.0
2858221,5,2,13,156.0
2718790,5,2,21,44.0
1039047,2,3,9,31.0
4294805,8,4,16,52.0
6081850,11,5,19,109.0
3128340,6,4,22,99.0
3777182,7,1,20,79.0
4981517,9,6,22,82.0
1343348,3,4,19,25.0
833174,2,2,15,22.0
2907564,5,5,18,77.0
4765505,8,5,19,60.0
1345870,3,1,13,7.0
668479,2,4,20,23.0
122930,1,1,14,10.0
4669986,8,3,10,419.0
6203905,11,5,11,4.0
4195926,7,4,15,106.0
6314019,11,7,17,69.0
1393430,3,6,15,50.0
2207398,4,6,16,35.0
1415234,3,2,19,15.0
2513553,5,3,13,94.0
158547,1,1,16,15.0
656710,2,1,20,36.0
2294008,4,6,16,11.0
1565939,3,3,10,19.0
3928320,7,7,7,16.0
6088452,11,7,10,131.0
393039,1,4,14,124.0
6136611,11,7,19,35.0
2116600,4,7,12,1.0
4513878,8,6,18,56.0
3900327,7,3,19,70.0
6670624,12,1,10,107.0
1338058,3,3,11,20.0
1696170,3,5,17,6.0
185599,1,5,11,96.0
1616913,3,7,10,15.0
861900,2,2,19,2.0
3559190,6,4,21,21.0
6367555,11,7,14,1.0
3459690,6,3,17,136.0
4045802,7,4,9,42.0
2891412,5,5,17,7.0
493587,1,4,20,7.0
6031162,11,7,14,5.0
4387307,8,6,12,28.0
985767,2,2,22,10.0
6567305,12,3,11,12.0
5197695,9,3,8,11.0
3621169,7,2,14,69.0
2811529,5,5,17,33.0
339664,1,4,7,153.0
4562847,8,1,16,50.0
6769134,12,6,14,2.0
4547737,8,7,11,29.0
6896429,12,1,7,22.0
6203922,11,5,13,14.0
4479106,8,7,7,17.0
4402525,8,4,14,25.0
607998,2,7,21,35.0
2022170,4,4,17,8.0
2516004,5,1,19,3.0
6949898,12,5,19,11.0
5706831,10,7,18,14.0
991562,2,3,9,12.0
1141963,2,5,19,10.0
3288507,6,5,15,9.0
6654539,12,4,12,19.0
1236808,3,5,7,22.0
3057430,6,6,17,93.0
3039412,6,1,15,264.0
1778625,3,6,6,142.0
6203742,11,5,20,2.0
2482402,5,6,13,137.0
1594694,3,1,16,12.0
635970,2,2,20,17.0
3495119,6,1,18,3.0
3681639,7,6,7,16.0
5959669,11,6,14,34.0
5756864,10,2,19,4.0
1298705,3,1,15,6.0
1116432,2,2,18,45.0
6640109,12,5,19,302.0
2788908,5,5,10,74.0
297602,1,2,13,17.0
2712391,5,2,20,40.0
4215594,7,7,21,54.0
6504085,12,1,13,15.0
4390199,8,4,20,40.0
1081017,2,7,20,62.0
151427,1,3,10,26.0
3172781,6,4,19,13.0
912053,2,3,15,15.0
3629086,7,4,21,33.0
1377801,3,4,16,43.0
4368742,8,5,13,55.0
4142802,7,2,19,10.0
3486814,6,2,16,51.0
4392460,8,1,13,40.0
1691293,3,7,20,5.0
6674970,12,2,19,18.0
4829526,8,2,7,374.0
3485533,6,4,20,10.0
4025572,7,4,19,5.0
3505839,6,3,17,20.0
762362,2,1,9,15.0
2122057,4,1,11,63.0
4480573,8,1,22,15.0
1617201,3,5,13,57.0
1390213,3,4,19,71.0
117014,1,1,15,4.0
4107087,7,7,14,129.0
6676475,12,1,7,44.0
523203,1,4,10,38.0
1686445,3,2,17,8.0
3779575,7,4,14,40.0
6603472,12,2,21,30.0
4926618,9,7,17,7.0
3717023,7,3,11,6.0
760595,2,5,7,55.0
717210,2,2,16,9.0
3294709,6,7,19,59.0
1788470,3,6,16,17.0
4045933,7,4,17,12.0
6842433,12,5,10,63.0
6567518,12,3,18,17.0
4630751,8,3,19,4.0
983928,2,7,9,14.0
212137,1,1,10,84.0
388809,1,7,21,39.0
840495,2,7,18,34.0
1136429,2,5,12,10.0
1751132,3,4,11,13.0
4108153,7,1,12,11.0
6571914,12,4,13,7.0
6604757,12,4,11,25.0
1311197,3,3,13,65.0
6718428,12,7,5,15.0
6620386,12,4,7,15.0
5322332,9,2,9,51.0
5665219,10,4,7,38.0
405927,1,1,9,97.0
4754586,8,4,8,24.0
754818,2,2,6,255.0
3274963,6,1,17,20.0
2452418,5,4,16,1.0
400293,1,2,20,16.0
3779845,7,4,20,180.0
1582329,3,5,8,25.0
5951371,11,4,18,80.0
412089,1,7,7,70.0
6013032,11,2,19,5.0
6754026,12,7,6,108.0
6939340,12,2,13,18.0
6582227,12,3,20,43.0
4291351,8,3,10,20.0
1595954,3,6,16,3.0
2997470,6,2,9,5.0
3777931,7,7,21,241.0
2139529,4,4,18,6.0
4941962,9,5,10,48.0
92482,1,4,7,16.0
3430335,6,6,14,4.0
3763768,7,1,10,20.0
629472,2,7,15,27.0
1342696,3,3,19,15.0
4224777,7,7,14,26.0
177764,1,7,13,100.0
3686658,7,7,14,82.0
3185602,6,5,12,91.0
237873,1,6,15,16.0
2551582,5,4,19,14.0
6871327,12,5,13,73.0
1335531,3,5,17,53.0
927063,2,2,16,20.0
6234994,11,6,12,3.0
1332792,3,1,18,23.0
5191174,9,3,15,7.0
3825586,7,2,16,160.0
4732341,8,5,17,21.0
1802441,4,7,15,15.0
3674179,7,3,14,200.0
6082051,11,6,16,35.0
1078487,2,2,14,2.0
4722971,8,4,10,26.0
6805919,12,5,6,216.0
580647,1,1,18,5.0
1003525,2,3,19,1.0
3316581,6,2,9,22.0
585909,1,4,10,3.0
1004638,2,5,7,146.0
3932884,7,4,17,1.0
987152,2,1,15,14.0
3905685,7,7,19,9.0
6710907,12,1,9,60.0
1333493,3,2,11,22.0
1693596,3,4,15,27.0
2823760,5,5,14,8.0
3794675,7,4,22,74.0
2381423,4,5,22,20.0
4257616,8,7,8,12.0
6506567,12,2,19,2.0
6949590,12,4,14,8.0
6566096,12,4,7,19.0
2499247,5,5,15,12.0
3257896,6,2,12,18.0
5521496,10,2,22,79.0
4736193,8,5,18,31.0
4764779,8,1,6,13.0
6519153,12,5,11,75.0
6929293,12,3,17,34.0
4785600,8,1,13,11.0
593744,1,6,9,9.0
6962987,12,3,14,163.0
3488208,6,4,13,69.0
5666475,10,5,14,2.0
6672495,12,7,8,80.0
5249264,9,1,17,5.0
3932769,7,4,18,44.0
4567842,8,4,18,55.0
4069643,7,7,11,43.0
6780174,12,2,9,8.0
6745513,12,6,13,13.0
4387331,8,6,7,74.0
3320443,6,1,11,28.0
6921262,12,2,12,12.0
1054375,2,5,7,7.0
3841757,7,3,17,11.0
1710533,3,4,12,13.0
306005,1,4,16,83.0
6603423,12,1,8,10.0
6512441,12,3,21,12.0
835592,2,5,7,16.0
2885897,5,3,6,16.0
6861129,12,6,11,56.0
4140257,7,2,21,15.0
778932,2,7,20,113.0
6589671,12,1,11,43.0
3772170,7,4,11,15.0
822779,2,2,7,71.0
4814992,8,1,14,40.0
1601686,3,2,17,1.0
3320243,6,2,8,25.0
134096,1,1,16,41.0
1297405,3,7,19,15.0
4395401,8,5,10,69.0
863317,2,3,6,15.0
319196,1,1,11,47.0
820982,2,3,10,22.0
6689687,12,1,10,70.0
107059,1,4,14,4.0
2872671,5,2,15,103.0
6616557,12,3,14,45.0
4105967,7,2,19,51.0
1765655,3,1,18,8.0
4106194,7,6,6,35.0
563649,1,4,13,13.0
1065700,2,1,20,25.0
1063914,2,2,15,17.0
4484341,8,1,8,22.0
4720606,8,6,22,366.0
929124,2,2,19,26.0
3386390,6,6,20,64.0
2111897,4,5,18,70.0
2238039,4,2,19,56.0
1770359,3,6,16,26.0
3149131,6,3,18,30.0
1954888,4,2,17,75.0
1005090,2,4,18,12.0
3793716,7,4,16,151.0
4927332,9,7,10,51.0
6908601,12,1,7,17.0
3933725,7,4,16,455.0
3042825,6,2,19,14.0
3443444,6,3,18,43.0
6517324,12,5,20,227.0
3383947,6,4,16,40.0
4157305,7,4,8,35.0
3417595,6,7,19,23.0
1179159,3,2,18,17.0
6675734,12,1,10,19.0
6527051,12,1,7,17.0
1343548,3,4,18,75.0
6837484,12,5,13,46.0
5975000,11,4,18,108.0
4078487,7,1,6,40.0
1618612,3,7,8,28.0
5838162,10,7,11,49.0
2843494,5,5,19,134.0
4106462,7,3,17,20.0
2029557,4,4,18,24.0
4396676,8,1,19,56.0
3953309,7,7,20,138.0
429178,1,5,17,22.0
3159994,6,7,17,124.0
4392714,8,1,17,157.0
2536310,5,1,15,22.0
4395537,8,6,18,82.0
923740,2,1,12,4.0
2169605,4,5,10,32.0
4109772,7,6,14,8.0
1239978,3,6,10,15.0
2498363,5,5,16,25.0
6825237,12,6,21,22.0
1512623,3,3,20,14.0
139260,1,2,10,344.0
526878,1,1,15,12.0
407899,1,3,11,28.0
327322,1,5,11,16.0
6078545,11,5,22,175.0
829298,2,1,18,24.0
3084219,6,7,14,65.0
726686,2,3,21,124.0
6757356,12,3,13,18.0
2372750,4,5,17,2.0
6381097,11,4,16,21.0
986905,2,1,19,8.0
4294843,8,4,17,48.0
2481168,5,6,13,14.0
6411099,11,7,19,21.0
3625732,7,3,15,76.0
3933194,7,4,18,8.0
3979088,7,7,12,270.0
555268,1,4,9,16.0
1145938,2,5,19,10.0
4122999,7,4,11,17.0
3584734,6,3,8,9.0
4629659,8,5,8,31.0
4984317,9,5,16,105.0
6055977,11,4,13,62.0
1026651,2,5,16,2.0
6612936,12,2,9,104.0
4057087,7,4,11,35.0
3009909,6,6,20,100.0
1017771,2,1,7,36.0
6916653,12,4,20,10.0
6843912,12,1,19,16.0
4315541,8,3,7,41.0
4922181,9,5,14,17.0
3961704,7,7,15,5.0
