,Month,DayOfWeek,Time,NASDelay
4336093,8,7,11,2.0
6865379,12,2,13,30.0
4682231,8,4,13,51.0
2641124,5,1,13,3.0
2776715,5,4,15,20.0
1944665,4,5,13,54.0
6721893,12,3,9,61.0
3561586,6,6,19,36.0
1281812,3,2,19,27.0
1334941,3,4,13,33.0
6613319,12,2,15,5.0
3545524,6,7,15,52.0
5491109,10,4,17,146.0
3567707,6,4,7,23.0
2655626,5,5,17,59.0
2342945,4,3,19,11.0
512779,1,2,13,58.0
3937744,7,3,15,17.0
838535,2,7,14,3.0
1704639,3,1,16,26.0
4762872,8,5,12,11.0
2495803,5,3,14,4.0
1290142,3,1,14,4.0
3478673,6,3,19,6.0
1671352,3,3,13,10.0
5409899,10,5,13,19.0
6671701,12,1,22,6.0
3207350,6,4,18,18.0
3595959,6,5,19,43.0
1475627,3,7,14,22.0
2121723,4,5,10,66.0
283117,1,2,12,71.0
1299946,3,4,14,18.0
1154788,2,3,15,28.0
4493890,8,7,13,10.0
1530858,3,6,8,16.0
2188432,4,1,13,121.0
6616809,12,2,7,16.0
4310218,8,2,21,14.0
1660390,3,4,7,19.0
4050191,7,5,12,15.0
2277136,4,4,13,2.0
6088966,11,4,16,1.0
2851551,5,4,15,43.0
4992852,9,7,14,67.0
1902114,4,3,13,30.0
5313396,9,7,9,6.0
500756,1,4,14,28.0
1045248,2,5,12,14.0
4060452,7,3,16,20.0
6634608,12,7,17,161.0
3499719,6,4,14,14.0
3923760,7,4,19,21.0
5583835,10,5,13,27.0
4348753,8,2,12,22.0
4027996,7,1,15,1.0
869986,2,1,17,21.0
2205774,4,2,11,8.0
3154580,6,5,14,24.0
1255506,3,4,13,7.0
973512,2,7,21,3.0
1212556,3,5,17,44.0
6509656,12,3,19,4.0
5723573,10,4,8,105.0
1332105,3,7,18,9.0
4832244,8,4,15,11.0
2369321,4,2,16,3.0
2274672,4,4,9,21.0
5786492,10,5,18,36.0
2019231,4,5,6,33.0
750285,2,2,6,17.0
6618581,12,2,13,49.0
6596253,12,4,8,20.0
2626826,5,3,13,23.0
2208453,4,5,11,35.0
4460475,8,4,11,4.0
2820048,5,5,17,36.0
5888576,10,7,17,42.0
457835,1,2,12,5.0
4593309,8,1,17,30.0
1394004,3,7,13,15.0
6920372,12,2,19,4.0
6917212,12,2,15,1.0
4993606,9,2,13,16.0
1273066,3,7,11,3.0
4556776,8,2,10,66.0
2200685,4,2,8,17.0
3143784,6,4,11,30.0
3547175,6,3,12,24.0
544279,1,7,13,23.0
6174888,11,3,8,40.0
335203,1,3,21,4.0
708764,2,5,13,51.0
471384,1,2,19,1.0
4071336,7,3,6,28.0
5726568,10,2,13,4.0
6498031,12,6,10,20.0
1536511,3,3,9,9.0
6444497,11,4,11,149.0
835449,2,7,11,1.0
3151814,6,7,18,234.0
6535977,12,4,18,22.0
3757884,7,1,18,17.0
2993426,5,5,21,1.0
4599438,8,2,16,10.0
1896371,4,1,10,28.0
4141045,7,3,18,28.0
1248287,3,2,11,1.0
6850107,12,7,10,18.0
3861194,7,3,16,95.0
2640866,5,3,13,7.0
4189202,7,3,17,206.0
981624,2,3,10,18.0
953740,2,5,16,30.0
4722152,8,4,6,31.0
6789604,12,1,11,15.0
1806092,4,2,12,18.0
3358919,6,7,18,15.0
4438250,8,4,13,8.0
2325085,4,3,16,2.0
3963434,7,6,8,14.0
2486317,5,5,13,4.0
1636231,3,7,14,13.0
1550630,3,1,23,20.0
2403033,5,3,19,2.0
4054969,7,4,15,46.0
620007,2,4,8,27.0
6139688,11,3,10,38.0
3055,1,5,16,1.0
4731172,8,4,11,47.0
6239540,11,3,12,7.0
4043149,7,3,19,26.0
461467,1,2,15,11.0
6448460,11,6,9,16.0
352627,1,6,14,10.0
1544446,3,6,16,10.0
1720369,3,6,18,1.0
5427618,10,4,14,3.0
2482751,5,6,11,39.0
6587281,12,4,20,15.0
1122450,2,6,12,16.0
1514421,3,6,11,22.0
6610631,12,4,13,6.0
6998922,12,4,8,31.0
3738458,7,2,12,2.0
6176304,11,4,9,20.0
3357696,6,6,14,49.0
5856390,10,6,14,19.0
130622,1,4,7,32.0
5394412,10,1,21,1.0
3426394,6,6,15,55.0
620630,2,4,20,11.0
6650292,12,3,7,48.0
2592880,5,5,10,2.0
2174109,4,7,14,28.0
4660044,8,3,8,29.0
104055,1,7,18,7.0
2257223,4,2,10,19.0
1691945,3,7,16,3.0
4253177,8,5,6,7.0
4990565,9,3,10,15.0
308558,1,7,8,15.0
5317983,9,5,13,143.0
3235517,6,4,20,9.0
5796387,10,4,22,6.0
2755998,5,4,11,10.0
2556423,5,6,20,8.0
2976687,5,5,9,186.0
6749569,12,2,7,12.0
884221,2,5,19,17.0
1107200,2,1,15,21.0
1623787,3,6,10,35.0
3453637,6,4,15,53.0
1387405,3,3,19,56.0
2302120,4,7,20,16.0
5272480,9,5,14,107.0
1300493,3,5,12,36.0
6394857,11,4,12,15.0
2781859,5,2,6,4.0
553304,1,7,21,20.0
5228704,9,1,12,19.0
6621297,12,1,15,1.0
2496098,5,2,14,4.0
4141585,7,5,20,15.0
403839,1,3,11,10.0
3067058,6,2,17,20.0
1081716,2,7,12,22.0
2331800,4,6,21,5.0
859799,2,7,18,15.0
2262764,4,2,18,26.0
6044658,11,2,20,8.0
6594046,12,1,16,36.0
1374809,3,2,16,17.0
6849168,12,3,14,28.0
2119225,4,4,14,14.0
121618,1,5,13,54.0
5461688,10,7,16,3.0
6786721,12,7,16,22.0
2285878,4,6,11,21.0
6592636,12,5,10,123.0
1024612,2,3,19,40.0
5278979,9,4,14,17.0
2121766,4,5,10,99.0
6979608,12,6,12,81.0
340039,1,6,12,56.0
6047020,11,6,14,152.0
1495503,3,4,8,8.0
6380236,11,7,16,132.0
3220887,6,5,9,28.0
3852503,7,7,17,166.0
2868785,5,1,7,20.0
11502,1,7,13,11.0
5319758,9,2,8,18.0
1787275,3,5,18,14.0
4578123,8,5,10,24.0
4031234,7,4,15,131.0
2377106,4,1,11,11.0
2292596,4,4,19,64.0
3290168,6,6,15,66.0
2137455,4,2,14,14.0
4795266,8,4,15,1.0
2947775,5,5,16,142.0
6619220,12,2,19,17.0
1684300,3,6,13,6.0
4118577,7,4,8,65.0
6228377,11,1,18,29.0
4330833,8,4,9,5.0
6426586,11,7,14,70.0
1734918,3,3,22,3.0
6510603,12,3,17,6.0
6657721,12,3,18,8.0
273439,1,1,12,13.0
2631126,5,6,17,38.0
949711,2,7,19,114.0
5310678,9,4,11,20.0
3932025,7,3,9,26.0
2359040,4,6,12,23.0
2454344,5,4,17,2.0
4064796,7,3,8,7.0
1790241,3,1,17,28.0
4775038,8,3,18,7.0
2145167,4,5,20,6.0
4571665,8,2,6,48.0
4986130,9,1,16,35.0
2275752,4,5,14,9.0
2050456,4,7,7,25.0
6653802,12,2,13,23.0
3892096,7,3,18,12.0
3733132,7,7,15,10.0
6746701,12,7,13,10.0
3414502,6,5,15,14.0
3563546,6,1,17,200.0
3069260,6,2,14,2.0
2365199,4,3,7,21.0
328676,1,3,12,14.0
2512065,5,2,8,22.0
4835624,8,7,6,38.0
124008,1,4,14,35.0
3957727,7,2,11,17.0
2553809,5,2,20,2.0
5907482,10,4,20,61.0
1065445,2,2,12,29.0
1220030,3,7,17,8.0
1681928,3,1,17,7.0
1753189,3,3,17,1.0
816455,2,2,14,21.0
6078364,11,5,16,33.0
3363735,6,6,10,24.0
1772319,3,1,0,17.0
527277,1,2,15,73.0
1670463,3,6,21,35.0
3722652,7,7,21,46.0
5295990,9,6,17,13.0
3542030,6,7,17,37.0
3574116,6,1,18,17.0
1888614,4,4,19,7.0
6947936,12,6,6,16.0
1522174,3,5,11,14.0
1027759,2,1,13,18.0
567137,1,2,16,116.0
3956118,7,5,11,10.0
448596,1,3,19,24.0
3074509,6,4,19,21.0
3544333,6,5,17,124.0
6936247,12,1,10,13.0
1912850,4,6,15,5.0
4173312,7,4,18,140.0
6809709,12,3,16,9.0
4452300,8,6,7,8.0
3532275,6,4,16,1.0
2746954,5,6,14,5.0
6802190,12,6,11,4.0
4202402,7,5,0,14.0
3436093,6,1,17,2.0
5288349,9,5,11,9.0
844684,2,6,10,291.0
1293851,3,3,16,157.0
2604430,5,6,19,66.0
3963603,7,6,8,24.0
2076459,4,7,16,11.0
3840862,7,4,16,37.0
6418131,11,6,16,23.0
713840,2,3,18,10.0
252327,1,1,13,11.0
3716883,7,6,8,10.0
4773048,8,6,7,17.0
3241522,6,6,17,11.0
3780040,7,5,13,48.0
6597722,12,6,8,36.0
2453006,5,4,9,6.0
6256348,11,3,14,14.0
3116570,6,7,16,32.0
2802083,5,5,14,23.0
3404365,6,4,21,64.0
6120281,11,1,6,6.0
2846139,5,5,17,47.0
5091913,9,3,13,14.0
2102843,4,1,6,15.0
6664596,12,2,11,49.0
2598307,5,2,6,58.0
122194,1,2,15,15.0
226591,1,7,8,57.0
2274603,4,3,14,19.0
4596528,8,5,18,60.0
6207215,11,1,16,13.0
6367720,11,6,12,8.0
6838883,12,5,15,43.0
3569370,6,1,11,20.0
3575828,6,1,19,33.0
4460133,8,1,14,3.0
1487512,3,5,10,71.0
311035,1,2,10,12.0
2767924,5,3,10,28.0
6466523,12,3,19,2.0
5081325,9,1,14,12.0
1936510,4,5,6,15.0
1663958,3,6,13,14.0
6751932,12,5,14,2.0
6341613,11,7,15,26.0
6579336,12,2,13,62.0
2990032,5,2,12,21.0
5648061,10,7,14,13.0
3935135,7,4,16,17.0
5210783,9,2,8,5.0
1512165,3,2,20,103.0
6620605,12,2,13,6.0
6525049,12,7,18,13.0
4763159,8,1,18,120.0
4166146,7,6,6,15.0
606916,2,7,12,7.0
6851205,12,7,17,1.0
848011,2,5,8,8.0
1781314,3,1,1,4.0
866392,2,5,19,19.0
6790043,12,2,13,4.0
1129779,2,6,10,49.0
6774515,12,5,17,16.0
6309755,11,5,8,148.0
1544325,3,6,17,1.0
4989848,9,1,10,54.0
4168727,7,3,19,45.0
837415,2,2,17,11.0
1119727,2,1,12,44.0
5097868,9,1,15,80.0
3119545,6,4,15,19.0
2868591,5,7,15,36.0
1583232,3,2,11,5.0
6668052,12,7,6,45.0
574709,1,2,11,54.0
5335506,9,3,17,13.0
1661100,3,2,17,8.0
419048,1,4,6,10.0
2994474,5,6,6,24.0
2669112,5,2,17,111.0
2935586,5,3,17,8.0
3973928,7,7,14,269.0
1301189,3,1,16,5.0
6778067,12,7,18,10.0
1108843,2,5,15,33.0
5622772,10,6,10,137.0
2887293,5,4,18,16.0
421744,1,5,20,11.0
3623943,7,2,14,8.0
2204990,4,3,14,9.0
1284493,3,1,10,42.0
3623136,7,2,8,39.0
3224130,6,5,11,3.0
3579338,6,4,21,7.0
3035158,6,6,16,5.0
3829964,7,4,18,102.0
3156370,6,1,7,11.0
865560,2,5,17,16.0
1906732,4,7,18,14.0
2520813,5,7,16,18.0
3880657,7,2,20,26.0
5626354,10,2,15,17.0
834548,2,4,13,41.0
1787441,3,5,19,1.0
2952847,5,1,19,4.0
1424118,3,3,7,47.0
2273412,4,1,16,9.0
2252036,4,3,8,59.0
1532840,3,7,18,5.0
751479,2,4,11,18.0
759236,2,3,10,17.0
4726757,8,2,6,23.0
6717303,12,6,16,16.0
1805410,4,1,12,4.0
3955261,7,4,12,247.0
6677260,12,6,13,54.0
3484228,6,1,20,3.0
490518,1,2,9,10.0
5286161,9,5,17,119.0
6366655,11,4,16,25.0
2863808,5,5,19,15.0
492822,1,1,20,5.0
3520719,6,4,22,9.0
2123829,4,1,11,2.0
3101887,6,2,11,42.0
4336381,8,6,10,21.0
4741375,8,4,21,19.0
3124127,6,6,15,23.0
3468892,6,6,22,14.0
4744257,8,4,13,20.0
2480894,5,6,14,23.0
6232984,11,6,16,1.0
342914,1,1,9,5.0
3927520,7,7,15,38.0
1817089,4,5,15,1.0
3599154,6,7,14,6.0
4591574,8,6,13,16.0
5291931,9,7,14,7.0
7001791,12,7,14,76.0
6884836,12,1,14,17.0
4379959,8,7,18,63.0
6998001,12,4,15,27.0
3237271,6,7,16,42.0
1258755,3,5,21,16.0
4829391,8,2,21,1.0
6386218,11,7,19,3.0
4841133,8,4,15,334.0
4711455,8,4,7,18.0
2984225,5,4,14,23.0
468464,1,2,19,9.0
5917801,10,4,17,22.0
5019201,9,4,11,8.0
1084102,2,1,17,28.0
1101806,2,3,11,24.0
5057662,9,7,21,17.0
5284123,9,6,12,24.0
5053129,9,3,16,17.0
4848111,9,4,21,2.0
256247,1,2,14,20.0
3192469,6,2,19,19.0
6846943,12,1,6,6.0
3457162,6,5,18,8.0
370747,1,6,9,31.0
4798235,8,4,18,5.0
4800691,8,1,14,62.0
6678638,12,7,12,55.0
6501028,12,7,17,6.0
1650168,3,5,11,2.0
6507752,12,2,7,43.0
4674515,8,5,11,15.0
1948130,4,4,19,32.0
3345699,6,2,18,12.0
5275700,9,1,7,9.0
2359009,4,7,6,16.0
3355539,6,3,11,15.0
346685,1,3,11,12.0
3584284,6,3,11,21.0
2610267,5,6,18,57.0
1249879,3,2,10,22.0
2133695,4,4,10,16.0
5292791,9,1,12,18.0
6137187,11,5,19,93.0
4124630,7,2,11,32.0
893824,2,7,16,17.0
996071,2,1,19,115.0
3250428,6,2,8,5.0
4652812,8,5,17,17.0
4591719,8,6,22,9.0
1631732,3,7,21,18.0
2971986,5,5,8,15.0
6881006,12,3,9,7.0
3218018,6,5,11,18.0
958628,2,5,8,35.0
6747274,12,1,18,46.0
1121530,2,5,18,14.0
4665861,8,3,17,44.0
1572096,3,5,17,3.0
5102583,9,5,18,67.0
446158,1,2,18,9.0
2838755,5,5,16,6.0
1955032,4,2,10,30.0
874714,2,5,9,3.0
4342052,8,2,11,5.0
3077714,6,5,17,20.0
4027210,7,6,6,17.0
5045911,9,1,15,7.0
6769241,12,7,16,4.0
6315940,11,5,8,1.0
162945,1,1,16,69.0
3401338,6,2,18,46.0
1304048,3,3,14,6.0
4463621,8,1,20,3.0
2155927,4,5,19,16.0
719705,2,2,13,52.0
2903150,5,3,12,5.0
420688,1,2,11,54.0
2644504,5,3,7,11.0
4744345,8,6,14,37.0
5670267,10,1,6,16.0
904656,2,2,13,52.0
3394521,6,1,10,6.0
2640882,5,5,13,10.0
6118230,11,1,16,12.0
3568300,6,4,17,6.0
497493,1,2,19,6.0
4360652,8,4,8,20.0
6789526,12,1,12,16.0
3008211,6,5,15,6.0
2518151,5,1,13,10.0
4363820,8,5,17,53.0
3496303,6,5,14,38.0
4112476,7,3,19,9.0
6479153,12,7,18,20.0
2266411,4,7,9,53.0
1717691,3,6,19,30.0
2590068,5,4,10,22.0
3474239,6,7,10,39.0
1015854,2,5,16,1.0
1920789,4,5,7,15.0
3775177,7,4,20,19.0
4274277,8,5,15,3.0
2377178,4,1,7,16.0
2085881,4,3,12,33.0
1600822,3,5,11,17.0
4440066,8,5,12,25.0
5083495,9,3,20,2.0
2549681,5,1,6,17.0
1547145,3,3,17,2.0
2302496,4,3,7,20.0
2326251,4,3,8,13.0
4282975,8,7,19,24.0
2201481,4,1,14,22.0
5608341,10,1,7,11.0
6870361,12,7,11,24.0
5859416,10,3,18,24.0
6248227,11,6,10,9.0
1482019,3,7,16,4.0
4360312,8,1,16,30.0
700139,2,4,6,19.0
744477,2,1,15,206.0
1147059,2,6,12,3.0
2212870,4,1,12,15.0
4388329,8,1,17,33.0
281752,1,1,9,39.0
5136791,9,7,6,44.0
1642996,3,6,12,15.0
1643528,3,3,6,57.0
1842569,4,5,15,26.0
3392803,6,6,10,1.0
1246127,3,1,12,8.0
3074007,6,4,14,10.0
1426389,3,7,17,16.0
3557900,6,7,13,132.0
2325758,4,2,19,26.0
6573220,12,3,16,211.0
1041300,2,2,21,20.0
2279230,4,7,20,13.0
2937184,5,6,16,18.0
2361211,4,2,19,34.0
1576693,3,7,8,84.0
3780161,7,2,16,41.0
5718012,10,3,16,6.0
3119305,6,2,7,42.0
443772,1,4,13,26.0
5300229,9,1,13,29.0
1623697,3,6,11,12.0
1589270,3,2,18,4.0
4116053,7,7,18,21.0
1701653,3,7,7,28.0
5116602,9,4,17,3.0
1544046,3,6,15,211.0
6562935,12,1,14,15.0
290950,1,1,7,26.0
1744568,3,4,16,25.0
409876,1,1,15,51.0
389056,1,2,11,30.0
6944032,12,3,14,4.0
3397306,6,3,14,5.0
6029296,11,7,13,18.0
3756613,7,6,11,17.0
1338497,3,3,16,28.0
1954587,4,2,12,10.0
3487177,6,4,10,42.0
4584288,8,7,6,3.0
1169823,2,7,17,27.0
5098586,9,1,13,14.0
6488162,12,3,20,154.0
6507645,12,2,17,2.0
1336210,3,7,16,30.0
6215767,11,1,9,9.0
1113824,2,3,20,9.0
2779208,5,6,20,7.0
2240846,4,7,19,24.0
4223782,7,7,16,85.0
4991333,9,4,10,7.0
598160,1,3,8,19.0
3562597,6,4,9,23.0
3550057,6,1,6,16.0
6866235,12,6,11,82.0
1230436,3,3,19,7.0
1005677,2,3,19,9.0
4941999,9,6,15,20.0
1418144,3,5,20,1.0
3500598,6,1,6,47.0
2893500,5,5,6,39.0
58351,1,1,12,19.0
5384365,9,1,13,15.0
2293684,4,3,13,46.0
4039591,7,6,17,12.0
5838489,10,5,15,22.0
2976209,5,5,22,16.0
2858940,5,3,11,17.0
975452,2,3,7,34.0
1090829,2,5,16,19.0
6957682,12,7,18,14.0
2901363,5,1,13,24.0
278128,1,5,9,4.0
3122411,6,1,20,90.0
6964570,12,6,9,14.0
1895353,4,5,12,6.0
4586051,8,6,5,23.0
6316493,11,3,15,4.0
3301959,6,6,15,8.0
610575,2,1,10,24.0
4612725,8,6,16,29.0
6631455,12,3,17,21.0
253765,1,4,17,14.0
366671,1,6,13,17.0
3451413,6,5,21,18.0
759814,2,4,13,36.0
6203220,11,5,17,112.0
5376739,9,2,11,36.0
2008642,4,7,15,6.0
6210826,11,4,21,15.0
1913857,4,4,11,18.0
2068406,4,7,10,26.0
9363,1,7,17,16.0
834737,2,4,18,67.0
6789445,12,1,19,40.0
6203794,11,5,8,41.0
1937808,4,7,15,16.0
4680420,8,7,16,15.0
5326908,9,6,9,14.0
3157391,6,3,15,90.0
6496,1,6,10,8.0
6982264,12,3,18,3.0
1024704,2,4,14,11.0
1069305,2,7,6,17.0
648127,2,5,21,4.0
2115273,4,2,19,11.0
1110873,2,2,17,4.0
6541763,12,6,7,9.0
5969493,11,2,13,4.0
4445382,8,2,16,5.0
5266226,9,1,15,2.0
3027518,6,4,6,13.0
1505812,3,6,16,11.0
4502611,8,4,15,7.0
2057322,4,5,20,8.0
3948702,7,2,16,1.0
3181558,6,3,16,33.0
118072,1,4,9,213.0
644890,2,4,16,2.0
6773584,12,7,17,39.0
3672574,7,3,8,7.0
1604013,3,5,12,5.0
5127128,9,5,18,17.0
2186047,4,1,16,56.0
1698293,3,4,9,11.0
4056194,7,5,7,36.0
4281199,8,7,15,8.0
6492512,12,4,10,44.0
1096515,2,2,9,20.0
1017034,2,4,10,24.0
6072101,11,7,14,2.0
3512132,6,4,19,56.0
6605286,12,6,8,19.0
1529151,3,7,13,19.0
131515,1,5,9,16.0
2189291,4,5,20,157.0
6611456,12,6,11,167.0
232415,1,6,8,20.0
3413152,6,7,19,10.0
842369,2,1,8,17.0
2603481,5,5,6,17.0
6048594,11,4,13,5.0
6894383,12,1,21,20.0
3419194,6,1,7,57.0
3282575,6,7,10,8.0
424685,1,7,17,43.0
6483406,12,1,9,18.0
5699450,10,1,11,2.0
5876647,10,1,22,15.0
1788218,3,6,16,115.0
3576194,6,3,8,16.0
6443372,11,5,17,75.0
5218927,9,5,17,14.0
6605091,12,5,16,27.0
3947983,7,2,17,126.0
4387566,8,6,11,126.0
1970492,4,2,19,3.0
3224032,6,4,15,16.0
6535921,12,4,15,24.0
5858883,10,2,14,60.0
5083100,9,2,12,44.0
6618077,12,2,19,7.0
705550,2,6,12,5.0
1072075,2,6,8,18.0
6498948,12,6,14,4.0
2021894,4,4,19,44.0
3411919,6,7,12,261.0
6204258,11,6,17,59.0
682817,2,2,19,13.0
4765140,8,1,16,2.0
6662904,12,5,14,22.0
3115178,6,1,17,78.0
624081,2,5,15,35.0
6572735,12,3,13,125.0
4070182,7,3,15,11.0
1191724,3,5,10,12.0
2397,1,5,20,43.0
1059428,2,1,6,45.0
6286656,11,5,14,3.0
873722,2,4,17,20.0
4225498,7,1,8,2.0
4087740,7,6,17,79.0
8723,1,7,19,5.0
417022,1,3,22,25.0
3409231,6,6,11,23.0
4255766,8,6,8,76.0
488092,1,3,17,41.0
917193,2,4,11,12.0
5939496,10,1,9,42.0
3988483,7,5,12,3.0
6652126,12,2,14,2.0
3858634,7,7,13,8.0
144225,1,2,16,33.0
971070,2,1,15,16.0
705387,2,4,16,30.0
3902347,7,4,14,19.0
980252,2,6,13,71.0
2206438,4,1,6,21.0
1941708,4,1,11,5.0
1843955,4,6,15,12.0
4258847,8,7,15,70.0
3489797,6,7,21,25.0
2140145,4,5,13,1.0
3038576,6,7,13,4.0
3507849,6,4,9,63.0
1339792,3,5,11,10.0
80165,1,7,19,5.0
1904347,4,4,18,29.0
1285142,3,3,8,29.0
2090167,4,4,13,15.0
934343,2,2,20,15.0
5340178,9,6,11,17.0
1308837,3,7,16,151.0
3839722,7,2,15,12.0
2500853,5,5,6,9.0
3684008,7,6,18,1.0
5708244,10,6,6,22.0
158654,1,1,20,21.0
2085211,4,3,21,5.0
2947424,5,4,17,19.0
3701579,7,4,20,112.0
3462042,6,4,20,4.0
3386983,6,4,11,11.0
2515480,5,7,17,119.0
2916862,5,3,21,12.0
4804935,8,2,6,58.0
5839983,10,5,7,17.0
4396913,8,1,21,9.0
1287564,3,4,16,12.0
3009651,6,6,15,8.0
5140147,9,5,16,1.0
66054,1,3,17,2.0
1140534,2,3,7,12.0
3801135,7,1,16,64.0
701715,2,5,6,34.0
3513574,6,4,17,82.0
3642595,7,1,8,27.0
3323039,6,1,12,2.0
2204575,4,4,8,30.0
584026,1,6,14,16.0
1980821,4,2,19,31.0
5221116,9,5,16,25.0
590628,1,4,7,19.0
2276376,4,4,16,16.0
2248510,4,1,13,8.0
3885588,7,5,10,21.0
3254322,6,7,23,3.0
6359392,11,4,16,15.0
4569314,8,5,8,15.0
4274623,8,5,12,4.0
430175,1,6,19,2.0
5468898,10,2,9,6.0
1777483,3,5,6,52.0
1131639,2,2,19,13.0
401429,1,2,14,6.0
6573957,12,2,18,208.0
4178755,7,7,13,252.0
3454031,6,5,19,17.0
4063599,7,7,11,29.0
1605355,3,1,9,3.0
1329800,3,3,19,10.0
5746335,10,2,11,3.0
4869161,9,3,13,30.0
2838805,5,4,19,15.0
5587398,10,2,18,34.0
6995558,12,2,16,17.0
1002650,2,5,13,27.0
5833829,10,2,15,8.0
1277998,3,7,17,10.0
520962,1,1,19,2.0
504648,1,2,18,16.0
6907908,12,2,17,11.0
6872776,12,4,6,39.0
4138496,7,4,17,47.0
161376,1,5,7,60.0
5663960,10,3,8,19.0
4024361,7,3,18,67.0
6847361,12,2,9,2.0
6964737,12,6,9,7.0
6923583,12,3,14,10.0
3550347,6,2,19,32.0
2419499,5,1,6,18.0
1467257,3,1,6,32.0
4215077,7,7,18,15.0
6324946,11,7,7,18.0
2539615,5,5,9,96.0
2941538,5,7,17,48.0
3555237,6,7,18,21.0
3399752,6,2,21,1.0
394573,1,4,15,9.0
6738768,12,1,18,7.0
5122371,9,1,9,31.0
2474041,5,4,12,17.0
2982227,5,3,18,13.0
6091225,11,5,18,16.0
6564160,12,7,15,71.0
2955989,5,1,8,18.0
60692,1,1,7,55.0
2732631,5,2,10,17.0
3854525,7,1,17,24.0
6843383,12,1,8,27.0
1915438,4,4,12,27.0
6750293,12,3,7,32.0
5245592,9,6,17,6.0
985018,2,5,17,5.0
1585813,3,7,6,13.0
1499068,3,7,8,11.0
2713444,5,5,9,17.0
1660269,3,3,8,47.0
6697004,12,3,16,4.0
1212658,3,5,13,3.0
3681418,7,5,11,10.0
6552646,12,2,11,4.0
4981167,9,5,9,20.0
5578909,10,3,8,50.0
6176779,11,5,6,16.0
2867869,5,1,16,15.0
5337596,9,7,17,29.0
453088,1,1,15,54.0
6195386,11,7,10,28.0
1707200,3,4,12,13.0
3654238,7,4,21,4.0
773966,2,3,11,22.0
397451,1,4,17,7.0
6555737,12,3,13,16.0
560305,1,7,12,17.0
6169127,11,5,15,8.0
4114136,7,2,9,6.0
4057899,7,2,12,65.0
2021384,4,4,10,13.0
1121625,2,5,15,9.0
521154,1,7,21,3.0
6496286,12,5,14,8.0
2973882,5,5,7,50.0
791670,2,1,16,115.0
1074515,2,7,17,7.0
4247436,8,4,21,3.0
3974103,7,1,9,13.0
6797538,12,6,10,19.0
2039485,4,3,16,13.0
391293,1,6,8,106.0
3508195,6,6,11,12.0
3416345,6,3,11,6.0
1517097,3,7,19,3.0
5608901,10,5,17,7.0
2912282,5,7,13,20.0
3468358,6,7,17,2.0
4581395,8,4,14,25.0
426370,1,4,17,31.0
2220363,4,5,16,60.0
5014043,9,7,11,98.0
2239953,4,1,14,8.0
3553145,6,7,16,206.0
4012593,7,7,10,16.0
1157353,2,7,14,99.0
5361573,9,5,17,53.0
3923589,7,3,15,355.0
6386386,11,1,20,4.0
6161843,11,7,11,20.0
1088487,2,1,15,6.0
1502369,3,7,21,26.0
4785479,8,1,8,3.0
4402865,8,5,17,3.0
836496,2,5,17,19.0
1199833,3,1,6,24.0
6603098,12,1,17,100.0
4031739,7,1,16,123.0
6459963,11,1,8,8.0
3993376,7,4,13,10.0
3418041,6,7,17,10.0
2617884,5,4,10,16.0
5327677,9,1,13,1.0
2368936,4,2,21,43.0
1594937,3,6,13,48.0
1898140,4,3,19,69.0
706812,2,5,16,3.0
2593463,5,6,7,1.0
942334,2,3,7,93.0
6912350,12,6,17,4.0
2749296,5,2,7,35.0
6639221,12,3,6,24.0
1976771,4,6,12,4.0
1584824,3,3,11,8.0
2603158,5,5,10,8.0
2424466,5,2,11,8.0
2287974,4,3,12,26.0
3500104,6,4,16,6.0
5784533,10,7,9,10.0
1182853,3,3,18,11.0
2057110,4,5,9,19.0
212806,1,1,18,146.0
3245009,6,4,17,6.0
985081,2,2,15,23.0
153594,1,7,14,14.0
5651411,10,2,12,2.0
4655737,8,2,6,11.0
1010039,2,5,21,7.0
2213227,4,1,21,40.0
5630972,10,6,20,36.0
4787482,8,4,19,22.0
3475337,6,5,13,11.0
6147218,11,7,13,16.0
6612866,12,2,10,3.0
3480296,6,6,13,4.0
3410767,6,5,11,18.0
2457581,5,5,18,20.0
1954358,4,1,9,16.0
3094414,6,1,8,1.0
3841747,7,7,17,11.0
919026,2,5,11,1.0
4219118,7,3,18,38.0
2297663,4,4,13,33.0
4053053,7,3,21,16.0
3942395,7,2,16,51.0
2067852,4,7,7,22.0
3221236,6,4,9,39.0
2504987,5,2,9,11.0
6965115,12,7,8,23.0
4746567,8,2,15,5.0
6712134,12,2,7,40.0
1750904,3,6,9,17.0
2560830,5,6,9,1.0
3962471,7,2,19,11.0
4329573,8,5,10,6.0
822666,2,6,17,40.0
1693607,3,5,6,38.0
3111099,6,2,18,26.0
4566893,8,7,12,106.0
3441403,6,6,10,24.0
6361558,11,4,10,41.0
1992425,4,5,16,8.0
3387239,6,3,19,2.0
878056,2,1,6,18.0
6951563,12,2,11,14.0
5207986,9,6,7,33.0
874419,2,5,8,33.0
4730649,8,5,11,13.0
956705,2,2,19,12.0
1614211,3,1,10,26.0
6322150,11,5,16,17.0
3245640,6,1,14,11.0
3898680,7,2,7,35.0
6614187,12,5,12,7.0
1690049,3,7,19,16.0
2076738,4,7,9,3.0
3194479,6,4,10,12.0
2370948,4,3,11,16.0
5639677,10,7,16,13.0
3073861,6,4,15,39.0
3005429,6,4,16,1.0
