,Month,DayOfWeek,Time,NASDelay
5336729,9,5,21,15.0
4657974,8,1,20,3.0
1954987,4,2,8,5.0
2782764,5,2,9,6.0
6355086,11,1,21,20.0
3264264,6,7,11,31.0
3122178,6,4,15,23.0
5272174,9,7,17,16.0
1891099,4,4,10,10.0
3030152,6,5,14,97.0
6047058,11,6,11,40.0
4785407,8,1,11,171.0
2914739,5,5,15,6.0
3927786,7,7,16,11.0
1336238,3,7,11,12.0
6171591,11,1,9,17.0
4177623,7,5,18,41.0
3338418,6,5,13,11.0
3498612,6,3,8,5.0
1127180,2,1,16,45.0
3022711,6,3,7,9.0
755459,2,3,15,7.0
1129660,2,5,12,37.0
5783609,10,5,17,17.0
6994826,12,1,6,64.0
4341196,8,6,10,2.0
5962679,11,7,14,124.0
6997317,12,3,18,29.0
2364380,4,5,23,10.0
3310309,6,5,17,21.0
2229619,4,5,10,2.0
2540593,5,5,16,20.0
6771333,12,7,18,11.0
1999855,4,2,19,35.0
6967720,12,4,18,25.0
1876354,4,1,20,15.0
2669868,5,2,19,18.0
4147276,7,4,17,35.0
2401566,5,3,18,3.0
1778790,3,6,9,30.0
1337697,3,2,5,19.0
5728540,10,5,8,1.0
3952644,7,2,8,16.0
4763222,8,2,20,16.0
6781185,12,3,7,45.0
3539495,6,3,9,28.0
1582201,3,1,6,22.0
218183,1,7,10,4.0
2642357,5,3,13,27.0
5010398,9,4,14,1.0
4416135,8,5,6,12.0
588609,1,2,6,54.0
2121505,4,5,13,27.0
1695356,3,3,8,30.0
828754,2,2,9,18.0
5247200,9,2,17,52.0
3781454,7,2,20,62.0
1330945,3,5,8,23.0
3868971,7,3,14,4.0
4661215,8,3,15,24.0
6538226,12,5,6,54.0
6473700,12,5,14,2.0
5359952,9,2,12,194.0
4529146,8,4,19,33.0
494003,1,4,9,4.0
935160,2,5,12,27.0
5748286,10,3,20,17.0
4101468,7,5,17,35.0
914832,2,1,15,1.0
645221,2,4,18,9.0
6527340,12,1,17,6.0
6261892,11,4,13,24.0
1614053,3,5,7,15.0
413728,1,2,17,27.0
3237731,6,5,22,3.0
4861949,9,1,18,39.0
6655157,12,3,16,15.0
525549,1,1,14,27.0
1519007,3,3,6,16.0
3484696,6,3,10,20.0
6518731,12,5,17,1.0
3365868,6,2,15,54.0
6969691,12,1,11,8.0
3489340,6,5,17,8.0
6046202,11,7,13,53.0
6518975,12,5,11,2.0
3197236,6,5,18,119.0
5176613,9,5,9,60.0
3223103,6,7,7,166.0
3425959,6,1,12,21.0
3580564,6,5,0,3.0
2648169,5,6,9,1.0
997139,2,4,9,20.0
1624807,3,3,6,7.0
6243676,11,5,12,31.0
5050093,9,7,6,27.0
2090062,4,4,18,9.0
3197172,6,5,17,116.0
2123307,4,7,12,5.0
5011753,9,5,19,8.0
887756,2,5,16,4.0
59507,1,1,21,20.0
5343993,9,7,19,2.0
6748989,12,2,20,5.0
4180831,7,4,17,107.0
3240932,6,1,7,13.0
241667,1,1,12,6.0
3779787,7,1,15,38.0
6781253,12,2,16,26.0
884275,2,5,20,57.0
1621436,3,4,9,8.0
2911843,5,7,16,40.0
1693280,3,4,20,16.0
6464059,11,4,12,36.0
3547851,6,4,13,3.0
4167236,7,1,18,21.0
6927063,12,4,17,9.0
1653228,3,3,14,219.0
2729526,5,5,13,17.0
1953478,4,7,15,20.0
515347,1,4,16,83.0
621041,2,4,7,18.0
1423218,3,1,18,31.0
3315771,6,7,19,14.0
3296505,6,1,12,21.0
403776,1,2,8,45.0
6796452,12,5,9,12.0
2007469,4,5,11,136.0
5501536,10,5,15,109.0
6095766,11,3,12,3.0
3233101,6,1,14,6.0
3418537,6,4,6,35.0
2014362,4,4,20,10.0
922615,2,2,15,9.0
5679974,10,2,14,5.0
6615774,12,1,16,8.0
4128502,7,3,21,17.0
932357,2,1,19,21.0
2894772,5,3,13,11.0
5413004,10,6,15,2.0
3567788,6,6,21,8.0
2179956,4,5,7,47.0
4782661,8,3,17,14.0
128767,1,3,6,4.0
1005102,2,1,19,1.0
6229097,11,5,17,12.0
591738,1,5,7,63.0
863865,2,3,11,1.0
1615547,3,3,10,18.0
5233159,9,1,7,7.0
400843,1,6,19,6.0
3169593,6,3,7,48.0
3929430,7,1,7,11.0
6666065,12,3,12,30.0
100458,1,7,21,32.0
3590952,6,1,14,7.0
3274988,6,1,7,26.0
2429856,5,4,21,13.0
3823098,7,7,19,70.0
4954332,9,2,21,60.0
1028576,2,5,14,23.0
3852784,7,4,18,52.0
6124279,11,7,18,13.0
824078,2,3,16,3.0
336330,1,5,19,5.0
5703420,10,6,8,33.0
3227584,6,5,18,17.0
4137792,7,3,18,37.0
3772180,7,7,14,24.0
3751279,7,6,15,18.0
6839790,12,3,12,10.0
928634,2,2,9,12.0
747958,2,5,17,16.0
2365931,4,1,18,22.0
2347934,4,3,14,6.0
6823605,12,3,13,6.0
370820,1,6,20,62.0
3428876,6,4,11,15.0
7004812,12,2,6,20.0
3475109,6,1,13,113.0
855921,2,4,8,18.0
1211654,3,4,9,18.0
3433018,6,5,8,46.0
3199416,6,7,13,52.0
1091120,2,1,15,42.0
2987890,5,1,21,19.0
2297140,4,1,11,17.0
4390247,8,4,12,15.0
3300225,6,5,15,63.0
6353681,11,5,16,51.0
2298444,4,4,6,17.0
3205152,6,3,11,131.0
5049163,9,3,10,74.0
4688631,8,5,7,40.0
4826082,8,6,22,5.0
2035294,4,4,9,15.0
4144722,7,4,16,12.0
6218648,11,3,7,31.0
4733743,8,4,16,6.0
6597387,12,5,14,53.0
203143,1,2,10,132.0
1012500,2,5,12,2.0
2301011,4,5,11,38.0
5177881,9,7,18,12.0
3225977,6,5,10,19.0
6759842,12,7,9,9.0
1680032,3,1,12,10.0
3930458,7,2,19,17.0
2350297,4,2,20,191.0
6722591,12,4,17,3.0
2177236,4,4,8,21.0
522976,1,7,11,16.0
312032,1,3,16,7.0
3013024,6,7,13,1.0
2957333,5,3,17,2.0
6235386,11,4,7,17.0
1728405,3,6,14,24.0
303478,1,3,11,19.0
2210671,4,5,7,50.0
4654779,8,4,19,11.0
2219840,4,7,21,4.0
2205545,4,3,13,34.0
4167955,7,2,20,100.0
2164703,4,4,11,2.0
4029899,7,3,19,92.0
276632,1,4,12,34.0
296905,1,2,19,5.0
3235058,6,1,16,108.0
703693,2,3,14,99.0
2941649,5,1,17,23.0
834710,2,5,18,2.0
5366248,9,7,7,11.0
1008805,2,1,10,11.0
5862577,10,5,15,132.0
4350756,8,3,14,16.0
5432553,10,5,12,8.0
4142997,7,4,10,58.0
3228713,6,1,10,5.0
4389217,8,2,12,11.0
3978890,7,7,11,53.0
3899290,7,2,9,29.0
3597454,6,6,12,22.0
6986960,12,3,17,301.0
339707,1,2,6,20.0
240378,1,2,16,210.0
3134035,6,5,16,51.0
717692,2,1,11,1.0
6979396,12,7,6,1.0
594094,1,7,16,17.0
1424424,3,4,13,61.0
6568289,12,2,8,21.0
1220674,3,7,14,33.0
875969,2,6,13,17.0
2375064,4,7,18,17.0
3217525,6,5,22,10.0
4162959,7,3,12,2.0
6804987,12,3,13,30.0
6253340,11,7,20,71.0
1342076,3,2,7,20.0
750388,2,2,11,33.0
6747322,12,1,8,35.0
3310451,6,6,17,18.0
6982576,12,2,17,36.0
234072,1,1,17,61.0
3782625,7,3,16,1.0
6396311,11,3,21,15.0
2629791,5,1,13,9.0
2157084,4,7,13,17.0
3438281,6,1,13,28.0
101494,1,1,15,22.0
3508688,6,3,13,31.0
4539503,8,1,19,13.0
1586733,3,3,6,5.0
249173,1,5,20,10.0
3932214,7,3,9,19.0
6512653,12,3,6,27.0
2813867,5,2,9,3.0
425668,1,2,8,31.0
2137456,4,2,20,29.0
3075184,6,4,8,18.0
3431962,6,3,19,33.0
1075441,2,4,11,5.0
5535640,10,7,16,75.0
3407190,6,6,18,14.0
3563291,6,3,8,49.0
4835800,8,7,11,2.0
4229829,7,4,7,38.0
1504431,3,6,16,16.0
3256523,6,1,17,1.0
6314715,11,7,9,15.0
3809653,7,6,14,94.0
872327,2,3,11,35.0
6873771,12,5,11,17.0
6952096,12,4,7,7.0
3412604,6,3,16,23.0
5913344,10,3,16,140.0
286469,1,4,9,16.0
1851844,4,1,20,5.0
423769,1,4,22,21.0
5669033,10,7,18,27.0
115606,1,6,8,10.0
649789,2,6,19,2.0
2914724,5,4,15,36.0
4032128,7,1,10,18.0
6889116,12,2,17,42.0
3442091,6,5,15,20.0
6466643,12,3,17,5.0
1637782,3,7,14,9.0
692221,2,5,11,5.0
5219611,9,6,18,38.0
6854638,12,6,10,16.0
517607,1,6,18,22.0
1162744,2,1,9,30.0
3627708,7,4,21,12.0
2759307,5,2,20,98.0
3312734,6,1,6,5.0
6172093,11,1,11,24.0
2546079,5,1,12,126.0
3991802,7,2,11,14.0
6764943,12,3,6,3.0
2223691,4,4,17,8.0
4857535,9,7,15,1.0
5861801,10,3,19,16.0
6780398,12,5,10,201.0
1002613,2,4,19,27.0
4718171,8,5,14,60.0
4488338,8,5,10,86.0
69577,1,4,12,6.0
5207228,9,7,18,2.0
6253392,11,7,17,48.0
2683041,5,6,18,30.0
2158110,4,1,6,15.0
